date,temperature_2m_max,temperature_2m_min,precipitation_sum,is_historical
1939-12-31 00:00:00+00:00,-1.15,-6.95,,T
1940-01-01 00:00:00+00:00,-5.2,-11.65,0.0,T
1940-01-02 00:00:00+00:00,-4.25,-13.3,0.0,T
1940-01-03 00:00:00+00:00,-0.75,-10.9,0.0,T
1940-01-04 00:00:00+00:00,1.6,-5.75,0.0,T
1940-01-05 00:00:00+00:00,0.7,-6.1,0.0,T
1940-01-06 00:00:00+00:00,0.3,-7.2,0.0,T
1940-01-07 00:00:00+00:00,-0.5,-4.95,0.0,T
1940-01-08 00:00:00+00:00,-4.2,-8.4,0.0,T
1940-01-09 00:00:00+00:00,-8.75,-14.2,0.0,T
1940-01-10 00:00:00+00:00,-11.4,-15.35,0.3,T
1940-01-11 00:00:00+00:00,-5.2,-12.65,0.2,T
1940-01-12 00:00:00+00:00,-4.5,-14.05,0.0,T
1940-01-13 00:00:00+00:00,-1.55,-11.7,0.0,T
1940-01-14 00:00:00+00:00,1.65,-10.8,0.0,T
1940-01-15 00:00:00+00:00,-2.3,-9.7,0.0,T
1940-01-16 00:00:00+00:00,3.35,-6.7,2.4,T
1940-01-17 00:00:00+00:00,-3.05,-10.35,12.100001,T
1940-01-18 00:00:00+00:00,-12.5,-16.75,3.8,T
1940-01-19 00:00:00+00:00,-13.85,-22.9,1.2,T
1940-01-20 00:00:00+00:00,-13.75,-18.45,8.800001,T
1940-01-21 00:00:00+00:00,-3.3,-26.5,0.0,T
1940-01-22 00:00:00+00:00,3.0,-7.2,1.3000001,T
1940-01-23 00:00:00+00:00,-5.3,-7.9,2.3999999,T
1940-01-24 00:00:00+00:00,-1.6,-6.45,0.6,T
1940-01-25 00:00:00+00:00,-3.5,-10.1,0.0,T
1940-01-26 00:00:00+00:00,-1.7,-6.8,0.0,T
1940-01-27 00:00:00+00:00,-4.3,-8.6,0.4,T
1940-01-28 00:00:00+00:00,-4.75,-10.9,1.4000002,T
1940-01-29 00:00:00+00:00,-6.8,-15.95,0.0,T
1940-01-30 00:00:00+00:00,-3.0,-18.1,0.0,T
1940-01-31 00:00:00+00:00,0.85,-8.4,0.0,T
1940-02-01 00:00:00+00:00,4.25,-0.7,5.1999993,T
1940-02-02 00:00:00+00:00,3.9,-0.85,2.6000001,T
1940-02-03 00:00:00+00:00,2.1,-1.85,0.1,T
1940-02-04 00:00:00+00:00,1.5,-2.2,0.0,T
1940-02-05 00:00:00+00:00,2.6,-2.35,0.0,T
1940-02-06 00:00:00+00:00,2.65,-1.6,7.3000007,T
1940-02-07 00:00:00+00:00,4.95,-0.1,0.0,T
1940-02-08 00:00:00+00:00,5.2,-1.35,0.0,T
1940-02-09 00:00:00+00:00,7.3,-0.85,6.9999995,T
1940-02-10 00:00:00+00:00,-4.05,-12.7,1.5000001,T
1940-02-11 00:00:00+00:00,0.4,-13.7,1.0,T
1940-02-12 00:00:00+00:00,-2.15,-11.35,14.099999,T
1940-02-13 00:00:00+00:00,-12.7,-17.35,3.8,T
1940-02-14 00:00:00+00:00,-11.95,-23.0,1.8000001,T
1940-02-15 00:00:00+00:00,-5.2,-24.55,0.0,T
1940-02-16 00:00:00+00:00,-7.0,-14.35,0.0,T
1940-02-17 00:00:00+00:00,-2.1,-17.15,0.0,T
1940-02-18 00:00:00+00:00,-4.95,-13.3,0.1,T
1940-02-19 00:00:00+00:00,-3.9,-9.8,0.2,T
1940-02-20 00:00:00+00:00,-8.05,-14.0,0.0,T
1940-02-21 00:00:00+00:00,-5.65,-19.05,0.0,T
1940-02-22 00:00:00+00:00,-0.75,-17.8,0.0,T
1940-02-23 00:00:00+00:00,8.25,-9.7,0.0,T
1940-02-24 00:00:00+00:00,4.3,-6.25,0.0,T
1940-02-25 00:00:00+00:00,4.8,-7.0,0.0,T
1940-02-26 00:00:00+00:00,5.3,-4.3,0.0,T
1940-02-27 00:00:00+00:00,7.25,-1.25,0.0,T
1940-02-28 00:00:00+00:00,8.65,-2.8,0.0,T
1940-02-29 00:00:00+00:00,7.7,-3.2,0.3,T
1940-03-01 00:00:00+00:00,-2.55,-5.35,0.5,T
1940-03-02 00:00:00+00:00,-1.85,-6.7,0.0,T
1940-03-03 00:00:00+00:00,5.55,-3.7,0.0,T
1940-03-04 00:00:00+00:00,8.0,-0.4,7.2,T
1940-03-05 00:00:00+00:00,0.8,-4.1,1.3000002,T
1940-03-06 00:00:00+00:00,-4.3,-6.75,6.4,T
1940-03-07 00:00:00+00:00,-3.6,-8.45,0.6,T
1940-03-08 00:00:00+00:00,-2.85,-12.35,0.1,T
1940-03-09 00:00:00+00:00,3.65,-10.1,0.0,T
1940-03-10 00:00:00+00:00,6.45,-1.55,0.0,T
1940-03-11 00:00:00+00:00,12.0,-4.95,0.0,T
1940-03-12 00:00:00+00:00,14.35,0.25,0.0,T
1940-03-13 00:00:00+00:00,13.85,6.8,6.4999995,T
1940-03-14 00:00:00+00:00,11.1,1.45,5.6,T
1940-03-15 00:00:00+00:00,2.9,-3.0,0.0,T
1940-03-16 00:00:00+00:00,8.5,-3.95,0.0,T
1940-03-17 00:00:00+00:00,3.05,-2.25,0.0,T
1940-03-18 00:00:00+00:00,7.95,-4.65,0.0,T
1940-03-19 00:00:00+00:00,7.05,0.8,1.8000002,T
1940-03-20 00:00:00+00:00,9.25,-0.8,0.0,T
1940-03-21 00:00:00+00:00,10.5,2.35,1.2,T
1940-03-22 00:00:00+00:00,14.85,2.95,0.1,T
1940-03-23 00:00:00+00:00,14.9,4.9,1.9000001,T
1940-03-24 00:00:00+00:00,17.55,3.6,0.0,T
1940-03-25 00:00:00+00:00,21.55,6.35,0.0,T
1940-03-26 00:00:00+00:00,23.8,11.4,0.0,T
1940-03-27 00:00:00+00:00,19.2,7.65,0.70000005,T
1940-03-28 00:00:00+00:00,9.9,3.1,12.3,T
1940-03-29 00:00:00+00:00,7.15,2.2,0.9000001,T
1940-03-30 00:00:00+00:00,7.15,-0.85,0.0,T
1940-03-31 00:00:00+00:00,8.7,-2.3,0.0,T
1940-04-01 00:00:00+00:00,9.35,0.1,0.0,T
1940-04-02 00:00:00+00:00,13.1,-0.4,0.9,T
1940-04-03 00:00:00+00:00,15.1,6.05,5.5,T
1940-04-04 00:00:00+00:00,17.65,4.35,3.1,T
1940-04-05 00:00:00+00:00,14.15,7.9,3.5,T
1940-04-06 00:00:00+00:00,9.0,5.7,14.800002,T
1940-04-07 00:00:00+00:00,8.25,3.55,1.4000001,T
1940-04-08 00:00:00+00:00,9.7,3.7,0.3,T
1940-04-09 00:00:00+00:00,11.95,4.1,0.1,T
1940-04-10 00:00:00+00:00,9.45,3.4,10.499999,T
1940-04-11 00:00:00+00:00,6.6,4.1,19.999998,T
1940-04-12 00:00:00+00:00,10.1,3.4,2.5999994,T
1940-04-13 00:00:00+00:00,11.75,0.75,0.0,T
1940-04-14 00:00:00+00:00,12.5,2.95,0.0,T
1940-04-15 00:00:00+00:00,19.0,2.35,0.0,T
1940-04-16 00:00:00+00:00,20.7,3.65,0.0,T
1940-04-17 00:00:00+00:00,23.1,9.25,0.0,T
1940-04-18 00:00:00+00:00,22.45,11.2,0.0,T
1940-04-19 00:00:00+00:00,23.45,10.95,2.3,T
1940-04-20 00:00:00+00:00,22.35,12.75,2.2,T
1940-04-21 00:00:00+00:00,22.35,13.05,0.0,T
1940-04-22 00:00:00+00:00,23.45,11.35,0.0,T
1940-04-23 00:00:00+00:00,24.7,12.35,0.0,T
1940-04-24 00:00:00+00:00,24.9,14.1,0.0,T
1940-04-25 00:00:00+00:00,25.75,14.25,0.0,T
1940-04-26 00:00:00+00:00,21.8,13.85,3.4,T
1940-04-27 00:00:00+00:00,22.2,13.0,0.90000004,T
1940-04-28 00:00:00+00:00,20.35,12.25,3.5,T
1940-04-29 00:00:00+00:00,16.4,9.0,4.2999997,T
1940-04-30 00:00:00+00:00,12.65,7.0,1.8000001,T
1940-05-01 00:00:00+00:00,17.3,6.25,1.6,T
1940-05-02 00:00:00+00:00,15.45,8.65,1.2,T
1940-05-03 00:00:00+00:00,14.45,10.35,0.70000005,T
1940-05-04 00:00:00+00:00,15.4,11.0,18.899998,T
1940-05-05 00:00:00+00:00,12.85,10.9,15.499999,T
1940-05-06 00:00:00+00:00,12.6,10.3,3.4000003,T
1940-05-07 00:00:00+00:00,16.8,10.25,2.3,T
1940-05-08 00:00:00+00:00,18.9,9.25,0.8000001,T
1940-05-09 00:00:00+00:00,19.3,9.95,2.9,T
1940-05-10 00:00:00+00:00,19.2,11.15,4.3,T
1940-05-11 00:00:00+00:00,18.05,11.8,5.3,T
1940-05-12 00:00:00+00:00,15.25,9.5,0.4,T
1940-05-13 00:00:00+00:00,13.2,5.3,0.0,T
1940-05-14 00:00:00+00:00,18.5,6.1,0.0,T
1940-05-15 00:00:00+00:00,20.7,10.15,0.0,T
1940-05-16 00:00:00+00:00,17.0,12.2,2.3,T
1940-05-17 00:00:00+00:00,18.25,10.55,1.2,T
1940-05-18 00:00:00+00:00,16.85,11.35,0.1,T
1940-05-19 00:00:00+00:00,13.05,9.45,8.400001,T
1940-05-20 00:00:00+00:00,19.8,7.25,0.2,T
1940-05-21 00:00:00+00:00,19.4,11.1,0.1,T
1940-05-22 00:00:00+00:00,21.1,10.8,0.0,T
1940-05-23 00:00:00+00:00,22.6,12.5,4.4,T
1940-05-24 00:00:00+00:00,22.0,12.5,6.4999995,T
1940-05-25 00:00:00+00:00,24.7,13.15,0.2,T
1940-05-26 00:00:00+00:00,26.65,14.25,0.0,T
1940-05-27 00:00:00+00:00,26.55,17.4,0.0,T
1940-05-28 00:00:00+00:00,27.25,15.45,0.4,T
1940-05-29 00:00:00+00:00,27.55,17.45,0.0,T
1940-05-30 00:00:00+00:00,23.8,15.8,2.4999998,T
1940-05-31 00:00:00+00:00,18.35,12.15,7.0,T
1940-06-01 00:00:00+00:00,17.3,12.3,2.8,T
1940-06-02 00:00:00+00:00,18.65,12.55,6.0,T
1940-06-03 00:00:00+00:00,19.0,14.35,14.800001,T
1940-06-04 00:00:00+00:00,18.0,15.35,7.4999995,T
1940-06-05 00:00:00+00:00,20.05,13.6,8.900001,T
1940-06-06 00:00:00+00:00,21.0,13.95,3.7000003,T
1940-06-07 00:00:00+00:00,23.2,13.65,0.0,T
1940-06-08 00:00:00+00:00,22.6,14.5,0.0,T
1940-06-09 00:00:00+00:00,24.05,13.05,0.1,T
1940-06-10 00:00:00+00:00,25.3,15.45,0.70000005,T
1940-06-11 00:00:00+00:00,24.25,14.4,0.1,T
1940-06-12 00:00:00+00:00,26.65,16.0,0.8000001,T
1940-06-13 00:00:00+00:00,27.65,15.9,0.0,T
1940-06-14 00:00:00+00:00,27.65,16.8,1.6,T
1940-06-15 00:00:00+00:00,27.95,17.65,6.1,T
1940-06-16 00:00:00+00:00,27.45,17.65,9.699999,T
1940-06-17 00:00:00+00:00,25.0,17.6,13.400002,T
1940-06-18 00:00:00+00:00,22.55,18.3,11.7,T
1940-06-19 00:00:00+00:00,24.4,16.5,2.8000002,T
1940-06-20 00:00:00+00:00,25.9,15.75,1.1,T
1940-06-21 00:00:00+00:00,25.7,16.05,1.0,T
1940-06-22 00:00:00+00:00,28.1,17.55,0.5,T
1940-06-23 00:00:00+00:00,29.85,18.2,0.0,T
1940-06-24 00:00:00+00:00,30.35,19.75,0.2,T
1940-06-25 00:00:00+00:00,27.5,18.85,39.5,T
1940-06-26 00:00:00+00:00,19.0,14.95,35.6,T
1940-06-27 00:00:00+00:00,15.3,13.15,6.399999,T
1940-06-28 00:00:00+00:00,15.05,13.45,23.599995,T
1940-06-29 00:00:00+00:00,21.35,14.25,3.3000002,T
1940-06-30 00:00:00+00:00,23.2,15.15,8.9,T
1940-07-01 00:00:00+00:00,24.65,18.0,1.8,T
1940-07-02 00:00:00+00:00,26.5,14.65,0.0,T
1940-07-03 00:00:00+00:00,29.35,16.2,0.0,T
1940-07-04 00:00:00+00:00,25.7,17.65,11.6,T
1940-07-05 00:00:00+00:00,25.25,18.2,1.0,T
1940-07-06 00:00:00+00:00,28.7,16.2,0.0,T
1940-07-07 00:00:00+00:00,30.35,19.65,1.0,T
1940-07-08 00:00:00+00:00,25.05,19.1,24.600002,T
1940-07-09 00:00:00+00:00,24.7,18.7,7.3999996,T
1940-07-10 00:00:00+00:00,25.9,18.0,3.7999997,T
1940-07-11 00:00:00+00:00,29.8,19.55,0.0,T
1940-07-12 00:00:00+00:00,27.4,18.4,2.7,T
1940-07-13 00:00:00+00:00,22.0,15.35,0.0,T
1940-07-14 00:00:00+00:00,27.55,13.4,0.0,T
1940-07-15 00:00:00+00:00,33.3,17.45,0.0,T
1940-07-16 00:00:00+00:00,22.25,18.35,8.800001,T
1940-07-17 00:00:00+00:00,25.05,16.6,0.0,T
1940-07-18 00:00:00+00:00,25.95,17.05,0.8000001,T
1940-07-19 00:00:00+00:00,26.35,18.25,0.70000005,T
1940-07-20 00:00:00+00:00,27.55,19.15,0.0,T
1940-07-21 00:00:00+00:00,26.8,19.05,5.4999995,T
1940-07-22 00:00:00+00:00,25.35,18.35,1.0000001,T
1940-07-23 00:00:00+00:00,27.35,16.6,0.0,T
1940-07-24 00:00:00+00:00,26.35,18.85,0.2,T
1940-07-25 00:00:00+00:00,29.35,17.0,0.0,T
1940-07-26 00:00:00+00:00,27.5,19.25,0.1,T
1940-07-27 00:00:00+00:00,22.15,19.25,4.2999997,T
1940-07-28 00:00:00+00:00,21.05,14.7,0.5,T
1940-07-29 00:00:00+00:00,20.35,13.8,0.0,T
1940-07-30 00:00:00+00:00,19.85,12.85,0.0,T
1940-07-31 00:00:00+00:00,21.3,13.0,0.2,T
1940-08-01 00:00:00+00:00,21.55,14.4,0.2,T
1940-08-02 00:00:00+00:00,21.3,13.0,0.5,T
1940-08-03 00:00:00+00:00,23.75,14.75,0.3,T
1940-08-04 00:00:00+00:00,24.1,16.3,0.0,T
1940-08-05 00:00:00+00:00,23.85,15.75,4.5,T
1940-08-06 00:00:00+00:00,26.15,15.0,0.0,T
1940-08-07 00:00:00+00:00,28.2,16.1,0.0,T
1940-08-08 00:00:00+00:00,28.9,17.05,0.0,T
1940-08-09 00:00:00+00:00,30.45,19.8,0.0,T
1940-08-10 00:00:00+00:00,31.6,21.3,1.9,T
1940-08-11 00:00:00+00:00,23.55,19.0,3.4999998,T
1940-08-12 00:00:00+00:00,24.9,18.8,2.5999994,T
1940-08-13 00:00:00+00:00,19.25,15.5,3.9,T
1940-08-14 00:00:00+00:00,21.15,14.8,0.0,T
1940-08-15 00:00:00+00:00,21.7,12.75,0.0,T
1940-08-16 00:00:00+00:00,17.95,12.9,3.0999997,T
1940-08-17 00:00:00+00:00,17.55,11.25,0.5,T
1940-08-18 00:00:00+00:00,21.85,13.4,0.8000001,T
1940-08-19 00:00:00+00:00,26.9,14.05,0.4,T
1940-08-20 00:00:00+00:00,22.5,14.3,0.0,T
1940-08-21 00:00:00+00:00,29.8,15.15,0.1,T
1940-08-22 00:00:00+00:00,17.65,10.75,0.3,T
1940-08-23 00:00:00+00:00,22.65,8.75,0.0,T
1940-08-24 00:00:00+00:00,19.15,12.7,0.0,T
1940-08-25 00:00:00+00:00,20.4,10.9,0.0,T
1940-08-26 00:00:00+00:00,23.3,12.55,0.0,T
1940-08-27 00:00:00+00:00,26.3,13.3,0.0,T
1940-08-28 00:00:00+00:00,24.05,13.45,0.0,T
1940-08-29 00:00:00+00:00,23.05,13.55,4.8,T
1940-08-30 00:00:00+00:00,14.4,10.55,3.8999996,T
1940-08-31 00:00:00+00:00,17.5,10.05,0.0,T
1940-09-01 00:00:00+00:00,20.8,9.95,0.1,T
1940-09-02 00:00:00+00:00,23.65,13.95,0.0,T
1940-09-03 00:00:00+00:00,21.35,13.8,0.0,T
1940-09-04 00:00:00+00:00,22.15,12.35,0.0,T
1940-09-05 00:00:00+00:00,22.9,12.7,0.0,T
1940-09-06 00:00:00+00:00,24.45,11.6,0.0,T
1940-09-07 00:00:00+00:00,26.85,12.25,0.0,T
1940-09-08 00:00:00+00:00,27.75,16.2,0.0,T
1940-09-09 00:00:00+00:00,26.5,14.85,0.1,T
1940-09-10 00:00:00+00:00,27.75,15.85,0.8,T
1940-09-11 00:00:00+00:00,18.8,14.95,2.8,T
1940-09-12 00:00:00+00:00,16.55,10.25,0.0,T
1940-09-13 00:00:00+00:00,22.15,9.3,0.0,T
1940-09-14 00:00:00+00:00,24.55,13.15,0.0,T
1940-09-15 00:00:00+00:00,25.1,15.85,1.6,T
1940-09-16 00:00:00+00:00,20.65,12.25,0.0,T
1940-09-17 00:00:00+00:00,23.9,13.05,0.0,T
1940-09-18 00:00:00+00:00,25.6,12.65,0.0,T
1940-09-19 00:00:00+00:00,29.4,15.45,0.0,T
1940-09-20 00:00:00+00:00,28.05,16.5,0.0,T
1940-09-21 00:00:00+00:00,28.65,15.3,0.0,T
1940-09-22 00:00:00+00:00,28.5,14.5,0.0,T
1940-09-23 00:00:00+00:00,30.65,18.2,0.0,T
1940-09-24 00:00:00+00:00,30.6,18.1,0.0,T
1940-09-25 00:00:00+00:00,26.7,15.05,0.0,T
1940-09-26 00:00:00+00:00,20.2,13.65,0.0,T
1940-09-27 00:00:00+00:00,26.8,12.3,0.4,T
1940-09-28 00:00:00+00:00,14.5,11.35,10.600001,T
1940-09-29 00:00:00+00:00,12.85,11.05,15.199999,T
1940-09-30 00:00:00+00:00,19.5,11.25,1.8000002,T
1940-10-01 00:00:00+00:00,23.1,14.0,6.8,T
1940-10-02 00:00:00+00:00,27.2,16.5,0.0,T
1940-10-03 00:00:00+00:00,24.35,13.3,0.0,T
1940-10-04 00:00:00+00:00,19.45,14.55,7.4999995,T
1940-10-05 00:00:00+00:00,18.25,11.0,0.0,T
1940-10-06 00:00:00+00:00,22.9,9.5,0.0,T
1940-10-07 00:00:00+00:00,20.9,11.55,0.1,T
1940-10-08 00:00:00+00:00,22.5,13.45,0.2,T
1940-10-09 00:00:00+00:00,24.5,13.0,0.0,T
1940-10-10 00:00:00+00:00,25.15,13.35,0.0,T
1940-10-11 00:00:00+00:00,20.05,14.8,0.0,T
1940-10-12 00:00:00+00:00,16.15,12.0,0.0,T
1940-10-13 00:00:00+00:00,15.25,11.05,0.6,T
1940-10-14 00:00:00+00:00,14.15,10.2,2.0,T
1940-10-15 00:00:00+00:00,15.15,7.95,0.0,T
1940-10-16 00:00:00+00:00,12.2,5.9,0.0,T
1940-10-17 00:00:00+00:00,11.8,3.05,0.0,T
1940-10-18 00:00:00+00:00,13.7,3.7,0.0,T
1940-10-19 00:00:00+00:00,16.85,3.05,0.0,T
1940-10-20 00:00:00+00:00,17.7,3.8,0.0,T
1940-10-21 00:00:00+00:00,16.85,5.15,0.3,T
1940-10-22 00:00:00+00:00,13.65,9.45,3.2,T
1940-10-23 00:00:00+00:00,13.5,8.45,1.5,T
1940-10-24 00:00:00+00:00,16.4,7.95,3.5,T
1940-10-25 00:00:00+00:00,19.5,9.5,4.0,T
1940-10-26 00:00:00+00:00,13.1,8.55,6.0000005,T
1940-10-27 00:00:00+00:00,9.65,7.25,3.5,T
1940-10-28 00:00:00+00:00,9.2,4.55,13.4,T
1940-10-29 00:00:00+00:00,12.3,6.2,4.7,T
1940-10-30 00:00:00+00:00,9.9,6.15,0.3,T
