date,temperature_2m_max,temperature_2m_min,precipitation_sum,is_historical
1939-12-31 00:00:00+00:00,-0.6685,-13.7685,,T
1940-01-01 00:00:00+00:00,-5.1184998,-14.8185,0.0,T
1940-01-02 00:00:00+00:00,-0.06850001,-15.718499,0.0,T
1940-01-03 00:00:00+00:00,2.8815,-7.3185,2.0,T
1940-01-04 00:00:00+00:00,3.9315,-3.4685,0.0,T
1940-01-05 00:00:00+00:00,3.8315,-5.7685,0.0,T
1940-01-06 00:00:00+00:00,2.0815,-5.6184998,0.4,T
1940-01-07 00:00:00+00:00,4.4815,-3.5685,0.0,T
1940-01-08 00:00:00+00:00,0.28149998,-5.4685,6.8,T
1940-01-09 00:00:00+00:00,-7.5185,-16.6685,0.0,T
1940-01-10 00:00:00+00:00,-11.0685,-17.118502,0.0,T
1940-01-11 00:00:00+00:00,-4.2685,-15.5185,0.0,T
1940-01-12 00:00:00+00:00,-0.3685,-12.4685,0.0,T
1940-01-13 00:00:00+00:00,0.6315,-13.6685,0.0,T
1940-01-14 00:00:00+00:00,0.8815,-12.5185,0.0,T
1940-01-15 00:00:00+00:00,-1.3685,-9.8685,0.3,T
1940-01-16 00:00:00+00:00,-4.5185,-13.7185,2.2,T
1940-01-17 00:00:00+00:00,-11.7185,-23.018501,0.1,T
1940-01-18 00:00:00+00:00,-12.9185,-26.7185,0.0,T
1940-01-19 00:00:00+00:00,-14.0685,-21.8185,0.0,T
1940-01-20 00:00:00+00:00,-7.4685,-17.5685,0.9000001,T
1940-01-21 00:00:00+00:00,-4.5185,-13.7685,2.0000002,T
1940-01-22 00:00:00+00:00,-7.6685,-17.7185,0.0,T
1940-01-23 00:00:00+00:00,-6.2185,-15.9185,0.0,T
1940-01-24 00:00:00+00:00,-3.3185,-12.9685,0.0,T
1940-01-25 00:00:00+00:00,-1.3685,-12.6185,0.0,T
1940-01-26 00:00:00+00:00,3.2315001,-4.9685,6.9,T
1940-01-27 00:00:00+00:00,2.4815001,-2.1685,2.7,T
1940-01-28 00:00:00+00:00,-1.1685,-5.8684998,0.8000001,T
1940-01-29 00:00:00+00:00,-0.31849998,-2.3185,10.200001,T
1940-01-30 00:00:00+00:00,0.5315,-4.3684998,2.6999998,T
1940-01-31 00:00:00+00:00,0.68149996,-6.5685,4.3999996,T
1940-02-01 00:00:00+00:00,4.4815,-4.6685,0.0,T
1940-02-02 00:00:00+00:00,5.6315002,-3.4685,0.0,T
1940-02-03 00:00:00+00:00,5.0815,-5.2685,1.0,T
1940-02-04 00:00:00+00:00,7.1315002,-4.1685,0.0,T
1940-02-05 00:00:00+00:00,7.1815,-5.4685,0.0,T
1940-02-06 00:00:00+00:00,7.2815,-6.9685,0.9,T
1940-02-07 00:00:00+00:00,7.4315,1.0315,1.7000002,T
1940-02-08 00:00:00+00:00,5.5815,-1.3185,0.0,T
1940-02-09 00:00:00+00:00,1.7815001,-3.1185,7.4999986,T
1940-02-10 00:00:00+00:00,-0.1685,-8.2685,0.1,T
1940-02-11 00:00:00+00:00,2.6315,-10.8685,11.999999,T
1940-02-12 00:00:00+00:00,-10.7685,-21.268501,0.5,T
1940-02-13 00:00:00+00:00,-12.0685,-23.868502,1.0000001,T
1940-02-14 00:00:00+00:00,-7.0685,-14.7685,2.6,T
1940-02-15 00:00:00+00:00,-3.8684998,-14.5185,0.2,T
1940-02-16 00:00:00+00:00,4.1815,-16.3185,2.8999999,T
1940-02-17 00:00:00+00:00,1.0315,-5.2185,2.4,T
1940-02-18 00:00:00+00:00,7.0815,-3.9185,18.399998,T
1940-02-19 00:00:00+00:00,4.8815002,-1.2184999,6.9000006,T
1940-02-20 00:00:00+00:00,4.3815002,-4.5685,0.0,T
1940-02-21 00:00:00+00:00,8.9815,-6.0685,0.0,T
1940-02-22 00:00:00+00:00,11.6315,-2.9185,0.0,T
1940-02-23 00:00:00+00:00,13.1315,1.6815,0.0,T
1940-02-24 00:00:00+00:00,9.3315,-1.9684999,0.0,T
1940-02-25 00:00:00+00:00,9.1315,-1.5185001,0.0,T
1940-02-26 00:00:00+00:00,12.2315,-1.0685,0.0,T
1940-02-27 00:00:00+00:00,12.0315,3.7815,0.0,T
1940-02-28 00:00:00+00:00,12.1815,2.8315,0.0,T
1940-02-29 00:00:00+00:00,8.0815,0.7315,0.0,T
1940-03-01 00:00:00+00:00,2.6315,-2.8185,0.0,T
1940-03-02 00:00:00+00:00,6.3315,-4.0685,0.0,T
1940-03-03 00:00:00+00:00,8.0315,-1.9684999,0.0,T
1940-03-04 00:00:00+00:00,5.1315002,-1.2685001,0.0,T
1940-03-05 00:00:00+00:00,-0.0185,-3.0685,3.8999999,T
1940-03-06 00:00:00+00:00,-0.96849996,-5.6685,3.4999998,T
1940-03-07 00:00:00+00:00,1.3315,-7.4685,1.7000002,T
1940-03-08 00:00:00+00:00,5.5815,-7.5685,0.0,T
1940-03-09 00:00:00+00:00,9.7815,-5.1184998,0.0,T
1940-03-10 00:00:00+00:00,12.1315,-0.1685,0.0,T
1940-03-11 00:00:00+00:00,12.8315,0.68149996,1.3000001,T
1940-03-12 00:00:00+00:00,11.9815,2.4815001,5.8,T
1940-03-13 00:00:00+00:00,12.1315,2.2815,10.8,T
1940-03-14 00:00:00+00:00,7.1815,-1.7684999,1.1000001,T
1940-03-15 00:00:00+00:00,8.5815,-2.1185,0.0,T
1940-03-16 00:00:00+00:00,9.1315,1.4814999,4.4999995,T
1940-03-17 00:00:00+00:00,17.2815,5.5815,4.2000003,T
1940-03-18 00:00:00+00:00,13.4315,5.5815,0.1,T
1940-03-19 00:00:00+00:00,10.9315,4.0815,0.3,T
1940-03-20 00:00:00+00:00,12.6815,2.0315,0.0,T
1940-03-21 00:00:00+00:00,16.1315,0.5815,0.0,T
1940-03-22 00:00:00+00:00,13.4815,6.7815,2.6999998,T
1940-03-23 00:00:00+00:00,15.9815,1.2314999,0.0,T
1940-03-24 00:00:00+00:00,17.7815,1.9814999,0.0,T
1940-03-25 00:00:00+00:00,16.981499,6.7315,0.5,T
1940-03-26 00:00:00+00:00,10.0315,3.4315,9.4000025,T
1940-03-27 00:00:00+00:00,3.7315001,-1.4684999,2.5,T
1940-03-28 00:00:00+00:00,3.3315,-3.4685,1.8000001,T
1940-03-29 00:00:00+00:00,2.9315,-1.2685001,2.8000002,T
1940-03-30 00:00:00+00:00,10.5815,0.98149997,1.6000001,T
1940-03-31 00:00:00+00:00,14.4815,-1.6685,0.0,T
1940-04-01 00:00:00+00:00,16.981499,3.0815,0.0,T
1940-04-02 00:00:00+00:00,10.2315,5.6815,7.700001,T
1940-04-03 00:00:00+00:00,8.5315,4.9815,9.099998,T
1940-04-04 00:00:00+00:00,6.8815002,3.0815,21.6,T
1940-04-05 00:00:00+00:00,5.4815,0.5815,9.7,T
1940-04-06 00:00:00+00:00,8.4315,-0.118499994,0.0,T
1940-04-07 00:00:00+00:00,9.3815,-2.4185,0.0,T
1940-04-08 00:00:00+00:00,6.4315,2.3815,3.8000002,T
1940-04-09 00:00:00+00:00,5.8815002,0.98149997,9.299999,T
1940-04-10 00:00:00+00:00,7.1315002,1.9315,2.4999998,T
1940-04-11 00:00:00+00:00,6.4315,-1.1185,0.9000001,T
1940-04-12 00:00:00+00:00,6.7315,0.7815,1.2,T
1940-04-13 00:00:00+00:00,6.5815,1.7314999,0.1,T
1940-04-14 00:00:00+00:00,13.8315,1.9814999,0.0,T
1940-04-15 00:00:00+00:00,15.4815,4.3815002,0.70000005,T
1940-04-16 00:00:00+00:00,15.6815,2.3315,0.5,T
1940-04-17 00:00:00+00:00,19.1815,3.7315001,3.2,T
1940-04-18 00:00:00+00:00,16.5315,4.5815,0.3,T
1940-04-19 00:00:00+00:00,18.131498,2.1815,0.0,T
1940-04-20 00:00:00+00:00,20.4315,7.0315,0.0,T
1940-04-21 00:00:00+00:00,21.7815,6.1815,0.0,T
1940-04-22 00:00:00+00:00,23.481499,6.2315,0.0,T
1940-04-23 00:00:00+00:00,21.3315,10.5815,0.2,T
1940-04-24 00:00:00+00:00,11.2815,6.6315002,6.9999995,T
1940-04-25 00:00:00+00:00,15.8315,6.1815,0.0,T
1940-04-26 00:00:00+00:00,16.631498,8.8815,8.900001,T
1940-04-27 00:00:00+00:00,17.0315,9.4315,4.8999996,T
1940-04-28 00:00:00+00:00,17.481499,9.0815,1.6000003,T
1940-04-29 00:00:00+00:00,16.4315,6.8815002,1.4000001,T
1940-04-30 00:00:00+00:00,17.881498,4.8315,5.799999,T
1940-05-01 00:00:00+00:00,19.481499,6.7315,0.8,T
1940-05-02 00:00:00+00:00,15.7315,8.1814995,3.2999997,T
1940-05-03 00:00:00+00:00,18.1815,5.0315,0.5,T
1940-05-04 00:00:00+00:00,13.4815,9.4815,9.999999,T
1940-05-05 00:00:00+00:00,14.2315,6.3815002,5.2999988,T
1940-05-06 00:00:00+00:00,16.1315,5.1815,0.0,T
1940-05-07 00:00:00+00:00,16.9315,5.6815,0.0,T
1940-05-08 00:00:00+00:00,19.0315,8.3815,1.9000001,T
1940-05-09 00:00:00+00:00,18.481499,5.4815,0.70000005,T
1940-05-10 00:00:00+00:00,19.5815,5.8815002,0.4,T
1940-05-11 00:00:00+00:00,13.7815,8.4315,1.3000002,T
1940-05-12 00:00:00+00:00,15.7315,5.2815,0.0,T
1940-05-13 00:00:00+00:00,18.481499,6.1815,0.0,T
1940-05-14 00:00:00+00:00,21.0315,5.7815,0.0,T
1940-05-15 00:00:00+00:00,15.8815,6.7815,7.6,T
1940-05-16 00:00:00+00:00,6.8315,3.2315001,14.500001,T
1940-05-17 00:00:00+00:00,10.9815,5.0315,4.699999,T
1940-05-18 00:00:00+00:00,14.3815,4.5815,0.2,T
1940-05-19 00:00:00+00:00,17.5815,2.1315,0.0,T
1940-05-20 00:00:00+00:00,20.6815,4.8815002,0.0,T
1940-05-21 00:00:00+00:00,20.381498,9.0815,4.6000004,T
1940-05-22 00:00:00+00:00,14.4315,9.7315,9.5,T
1940-05-23 00:00:00+00:00,18.731499,10.1815,3.6999996,T
1940-05-24 00:00:00+00:00,23.9315,5.8315,0.0,T
1940-05-25 00:00:00+00:00,25.6815,14.8315,0.0,T
1940-05-26 00:00:00+00:00,22.4315,11.2315,0.0,T
1940-05-27 00:00:00+00:00,22.631498,9.5815,0.0,T
1940-05-28 00:00:00+00:00,16.631498,11.6315,5.9,T
1940-05-29 00:00:00+00:00,11.5315,9.4315,31.7,T
1940-05-30 00:00:00+00:00,15.2815,9.6815,8.399999,T
1940-05-31 00:00:00+00:00,14.4815,7.8315,7.9999995,T
1940-06-01 00:00:00+00:00,16.731499,5.8315,0.2,T
1940-06-02 00:00:00+00:00,19.2815,5.8315,0.0,T
1940-06-03 00:00:00+00:00,20.881498,7.7815,0.0,T
1940-06-04 00:00:00+00:00,23.2815,8.2815,0.0,T
1940-06-05 00:00:00+00:00,23.2815,10.6315,0.0,T
1940-06-06 00:00:00+00:00,23.481499,10.1315,0.0,T
1940-06-07 00:00:00+00:00,23.881498,10.4815,0.2,T
1940-06-08 00:00:00+00:00,25.2815,10.4315,0.0,T
1940-06-09 00:00:00+00:00,25.4315,11.9315,0.0,T
1940-06-10 00:00:00+00:00,24.981499,12.2315,0.0,T
1940-06-11 00:00:00+00:00,21.6815,12.9815,1.0,T
1940-06-12 00:00:00+00:00,19.9315,12.7315,0.70000005,T
1940-06-13 00:00:00+00:00,19.7815,12.7315,0.5,T
1940-06-14 00:00:00+00:00,16.7815,12.5315,11.0,T
1940-06-15 00:00:00+00:00,16.881498,10.2315,2.7,T
1940-06-16 00:00:00+00:00,16.7815,11.5315,0.3,T
1940-06-17 00:00:00+00:00,19.4315,11.2315,2.5,T
1940-06-18 00:00:00+00:00,21.9315,10.6315,0.0,T
1940-06-19 00:00:00+00:00,20.6815,11.3315,0.5,T
1940-06-20 00:00:00+00:00,22.131498,12.6815,0.0,T
1940-06-21 00:00:00+00:00,20.9315,12.7815,0.0,T
1940-06-22 00:00:00+00:00,22.1815,12.7315,1.1000001,T
1940-06-23 00:00:00+00:00,23.4315,12.8315,1.0,T
1940-06-24 00:00:00+00:00,17.5315,11.2315,10.5,T
1940-06-25 00:00:00+00:00,17.231499,11.6315,2.5999994,T
1940-06-26 00:00:00+00:00,15.5815,9.4815,0.4,T
1940-06-27 00:00:00+00:00,15.2815,9.3815,4.1,T
1940-06-28 00:00:00+00:00,17.381498,8.5315,0.1,T
1940-06-29 00:00:00+00:00,18.8315,10.5815,0.5,T
1940-06-30 00:00:00+00:00,21.8315,12.2315,0.0,T
1940-07-01 00:00:00+00:00,24.8315,13.0315,0.5,T
1940-07-02 00:00:00+00:00,24.981499,15.6315,0.70000005,T
1940-07-03 00:00:00+00:00,21.3315,13.9815,0.1,T
1940-07-04 00:00:00+00:00,21.6815,11.5815,0.0,T
1940-07-05 00:00:00+00:00,26.1815,9.7315,0.1,T
1940-07-06 00:00:00+00:00,19.131498,15.2315,17.699999,T
1940-07-07 00:00:00+00:00,17.0815,11.5815,8.8,T
1940-07-08 00:00:00+00:00,19.881498,10.5315,2.3,T
1940-07-09 00:00:00+00:00,23.631498,9.1315,0.0,T
1940-07-10 00:00:00+00:00,22.1815,13.5815,4.0,T
1940-07-11 00:00:00+00:00,14.1315,8.8315,5.9999995,T
1940-07-12 00:00:00+00:00,17.6815,9.0815,0.9000001,T
1940-07-13 00:00:00+00:00,22.1815,9.6315,0.8,T
1940-07-14 00:00:00+00:00,23.2815,12.9315,1.3000001,T
1940-07-15 00:00:00+00:00,15.7315,10.8315,12.4,T
1940-07-16 00:00:00+00:00,16.3315,11.6815,5.3999996,T
1940-07-17 00:00:00+00:00,19.1815,11.3815,3.3,T
1940-07-18 00:00:00+00:00,21.631498,9.7815,0.0,T
1940-07-19 00:00:00+00:00,25.0815,13.3815,0.2,T
1940-07-20 00:00:00+00:00,22.0815,13.9815,8.1,T
1940-07-21 00:00:00+00:00,19.6815,14.2815,6.8999996,T
1940-07-22 00:00:00+00:00,16.481499,13.4815,14.9,T
1940-07-23 00:00:00+00:00,20.1815,12.5315,0.8000001,T
1940-07-24 00:00:00+00:00,25.631498,14.6815,0.1,T
1940-07-25 00:00:00+00:00,25.2815,16.5315,0.3,T
1940-07-26 00:00:00+00:00,19.1815,13.2315,1.9000002,T
1940-07-27 00:00:00+00:00,17.6815,10.9315,0.90000004,T
1940-07-28 00:00:00+00:00,20.231499,5.8815002,0.1,T
1940-07-29 00:00:00+00:00,17.0815,7.8315,1.1,T
1940-07-30 00:00:00+00:00,20.4315,7.9315,0.0,T
1940-07-31 00:00:00+00:00,21.3315,9.4815,0.0,T
1940-08-01 00:00:00+00:00,22.731499,11.4815,0.0,T
1940-08-02 00:00:00+00:00,24.8315,10.6315,0.0,T
1940-08-03 00:00:00+00:00,25.881498,12.2315,0.0,T
1940-08-04 00:00:00+00:00,26.1815,13.3815,0.0,T
1940-08-05 00:00:00+00:00,22.2815,14.6315,15.600001,T
1940-08-06 00:00:00+00:00,23.131498,13.9315,0.2,T
1940-08-07 00:00:00+00:00,22.8315,16.231499,0.1,T
1940-08-08 00:00:00+00:00,26.5315,12.0815,0.0,T
1940-08-09 00:00:00+00:00,23.9315,15.2315,3.2,T
1940-08-10 00:00:00+00:00,22.5315,14.6815,0.2,T
1940-08-11 00:00:00+00:00,19.731499,13.8815,0.0,T
1940-08-12 00:00:00+00:00,17.3315,9.4315,0.3,T
1940-08-13 00:00:00+00:00,19.7815,8.0815,0.0,T
1940-08-14 00:00:00+00:00,20.3315,9.4315,0.0,T
1940-08-15 00:00:00+00:00,19.631498,11.4815,0.90000004,T
1940-08-16 00:00:00+00:00,19.881498,8.6815,0.2,T
1940-08-17 00:00:00+00:00,21.381498,8.2315,0.0,T
1940-08-18 00:00:00+00:00,20.881498,8.7315,0.0,T
1940-08-19 00:00:00+00:00,15.6315,11.4815,5.8999996,T
1940-08-20 00:00:00+00:00,16.731499,7.6815,0.3,T
1940-08-21 00:00:00+00:00,13.0815,8.1315,13.4,T
1940-08-22 00:00:00+00:00,13.8315,8.0815,3.6999996,T
1940-08-23 00:00:00+00:00,13.8815,7.5315,2.9,T
1940-08-24 00:00:00+00:00,17.1815,3.5815,0.0,T
1940-08-25 00:00:00+00:00,21.631498,5.9315,0.0,T
1940-08-26 00:00:00+00:00,22.9315,9.7315,0.0,T
1940-08-27 00:00:00+00:00,17.5315,11.0815,0.3,T
1940-08-28 00:00:00+00:00,19.5815,10.1315,0.70000005,T
1940-08-29 00:00:00+00:00,15.6315,8.5315,1.0000001,T
1940-08-30 00:00:00+00:00,17.2815,5.4815,0.0,T
1940-08-31 00:00:00+00:00,22.5815,8.5315,0.0,T
1940-09-01 00:00:00+00:00,23.8315,8.8815,0.0,T
1940-09-02 00:00:00+00:00,22.9315,9.0815,0.0,T
1940-09-03 00:00:00+00:00,22.981499,10.3315,0.0,T
1940-09-04 00:00:00+00:00,23.7815,10.2815,0.0,T
1940-09-05 00:00:00+00:00,24.4315,12.6815,0.0,T
