date,temperature_2m_max,temperature_2m_min,precipitation_sum,is_historical
1939-12-31 00:00:00+00:00,-6.587,-12.887,,T
1940-01-01 00:00:00+00:00,0.913,-14.337001,1.3000002,T
1940-01-02 00:00:00+00:00,1.563,-8.037001,0.2,T
1940-01-03 00:00:00+00:00,-5.387,-12.837001,0.0,T
1940-01-04 00:00:00+00:00,0.063,-6.237,0.0,T
1940-01-05 00:00:00+00:00,2.713,-7.387,0.0,T
1940-01-06 00:00:00+00:00,0.913,-8.487,0.0,T
1940-01-07 00:00:00+00:00,1.063,-5.437,0.0,T
1940-01-08 00:00:00+00:00,-3.787,-11.487,0.0,T
1940-01-09 00:00:00+00:00,-3.837,-8.187,0.0,T
1940-01-10 00:00:00+00:00,-3.087,-7.037,0.0,T
1940-01-11 00:00:00+00:00,-0.487,-6.387,0.0,T
1940-01-12 00:00:00+00:00,3.313,-0.737,0.0,T
1940-01-13 00:00:00+00:00,3.563,0.31300002,0.0,T
1940-01-14 00:00:00+00:00,4.063,-7.537,1.4000001,T
1940-01-15 00:00:00+00:00,-7.137,-16.737,3.5,T
1940-01-16 00:00:00+00:00,-9.737,-18.437,0.0,T
1940-01-17 00:00:00+00:00,-7.937,-11.337001,0.0,T
1940-01-18 00:00:00+00:00,-7.337,-12.987,0.0,T
1940-01-19 00:00:00+00:00,-6.137,-12.287001,3.1000001,T
1940-01-20 00:00:00+00:00,-3.037,-6.787,2.7000003,T
1940-01-21 00:00:00+00:00,-3.937,-8.187,4.1,T
1940-01-22 00:00:00+00:00,-6.187,-14.287001,0.9000001,T
1940-01-23 00:00:00+00:00,-1.087,-9.437,0.8,T
1940-01-24 00:00:00+00:00,-2.237,-5.037,0.3,T
1940-01-25 00:00:00+00:00,-2.187,-4.387,0.1,T
1940-01-26 00:00:00+00:00,-3.787,-9.137,0.0,T
1940-01-27 00:00:00+00:00,-5.187,-8.887,0.0,T
1940-01-28 00:00:00+00:00,-4.037,-7.437,0.3,T
1940-01-29 00:00:00+00:00,-5.287,-8.637,0.3,T
1940-01-30 00:00:00+00:00,-6.387,-9.987,0.0,T
1940-01-31 00:00:00+00:00,-8.037001,-10.387,0.0,T
1940-02-01 00:00:00+00:00,-7.537,-11.687,0.0,T
1940-02-02 00:00:00+00:00,-7.887,-13.787001,0.0,T
1940-02-03 00:00:00+00:00,-4.887,-10.037001,0.2,T
1940-02-04 00:00:00+00:00,-8.037001,-12.637,0.0,T
1940-02-05 00:00:00+00:00,-5.387,-11.137,0.0,T
1940-02-06 00:00:00+00:00,-5.037,-9.937,0.0,T
1940-02-07 00:00:00+00:00,-7.087,-13.687,0.0,T
1940-02-08 00:00:00+00:00,-13.637,-19.987,0.0,T
1940-02-09 00:00:00+00:00,-15.387,-24.837,0.0,T
1940-02-10 00:00:00+00:00,-14.987,-18.337,2.7999995,T
1940-02-11 00:00:00+00:00,-14.087001,-19.587,0.0,T
1940-02-12 00:00:00+00:00,-7.487,-17.587,0.6,T
1940-02-13 00:00:00+00:00,-3.987,-9.387,0.3,T
1940-02-14 00:00:00+00:00,-7.087,-14.187,0.0,T
1940-02-15 00:00:00+00:00,-9.987,-20.137,0.0,T
1940-02-16 00:00:00+00:00,-0.687,-13.037001,0.6,T
1940-02-17 00:00:00+00:00,-0.287,-5.687,1.6,T
1940-02-18 00:00:00+00:00,-1.487,-14.437,0.0,T
1940-02-19 00:00:00+00:00,-9.937,-24.687,0.0,T
1940-02-20 00:00:00+00:00,0.263,-10.737,5.8000007,T
1940-02-21 00:00:00+00:00,1.863,-4.337,0.0,T
1940-02-22 00:00:00+00:00,3.513,-0.43699998,0.0,T
1940-02-23 00:00:00+00:00,2.963,1.813,1.1,T
1940-02-24 00:00:00+00:00,-0.537,-5.987,0.0,T
1940-02-25 00:00:00+00:00,-0.387,-5.887,0.0,T
1940-02-26 00:00:00+00:00,3.713,-4.837,0.2,T
1940-02-27 00:00:00+00:00,4.913,3.313,4.8999996,T
1940-02-28 00:00:00+00:00,4.863,-4.287,0.4,T
1940-02-29 00:00:00+00:00,0.063,-6.487,0.0,T
1940-03-01 00:00:00+00:00,1.413,-9.137,0.0,T
1940-03-02 00:00:00+00:00,3.063,-0.087,0.0,T
1940-03-03 00:00:00+00:00,5.063,-0.287,0.1,T
1940-03-04 00:00:00+00:00,2.263,-4.387,1.7000002,T
1940-03-05 00:00:00+00:00,-0.13700001,-7.587,0.0,T
1940-03-06 00:00:00+00:00,-1.337,-5.837,0.0,T
1940-03-07 00:00:00+00:00,0.213,-9.037001,0.90000004,T
1940-03-08 00:00:00+00:00,2.963,-3.337,1.0,T
1940-03-09 00:00:00+00:00,2.213,-4.237,0.1,T
1940-03-10 00:00:00+00:00,4.413,-1.337,2.6,T
1940-03-11 00:00:00+00:00,7.663,1.863,14.000001,T
1940-03-12 00:00:00+00:00,8.263,3.213,6.2999997,T
1940-03-13 00:00:00+00:00,1.713,-5.137,1.2,T
1940-03-14 00:00:00+00:00,0.563,-8.287001,2.2,T
1940-03-15 00:00:00+00:00,2.963,-6.087,3.1,T
1940-03-16 00:00:00+00:00,-0.63699996,-8.387,0.0,T
1940-03-17 00:00:00+00:00,0.563,-4.587,3.8000002,T
1940-03-18 00:00:00+00:00,1.413,-1.787,14.099999,T
1940-03-19 00:00:00+00:00,4.563,0.31300002,3.3,T
1940-03-20 00:00:00+00:00,4.313,0.813,7.4999995,T
1940-03-21 00:00:00+00:00,5.663,0.61300004,0.8000001,T
1940-03-22 00:00:00+00:00,1.913,-0.937,1.8000002,T
1940-03-23 00:00:00+00:00,0.763,-1.337,0.2,T
1940-03-24 00:00:00+00:00,1.813,-1.637,2.1000001,T
1940-03-25 00:00:00+00:00,4.013,0.163,2.4,T
1940-03-26 00:00:00+00:00,5.663,-0.187,1.4000001,T
1940-03-27 00:00:00+00:00,2.963,-4.987,3.7999992,T
1940-03-28 00:00:00+00:00,2.463,-4.487,0.2,T
1940-03-29 00:00:00+00:00,1.563,-6.637,0.0,T
1940-03-30 00:00:00+00:00,6.663,-3.337,0.3,T
1940-03-31 00:00:00+00:00,11.813,6.213,1.6,T
1940-04-01 00:00:00+00:00,12.962999,4.713,0.0,T
1940-04-02 00:00:00+00:00,7.163,-0.787,0.0,T
1940-04-03 00:00:00+00:00,2.713,-1.187,0.0,T
1940-04-04 00:00:00+00:00,5.013,-1.487,0.0,T
1940-04-05 00:00:00+00:00,5.263,-1.687,0.0,T
1940-04-06 00:00:00+00:00,7.963,-0.537,0.0,T
1940-04-07 00:00:00+00:00,5.613,-0.43699998,0.0,T
1940-04-08 00:00:00+00:00,7.713,-1.337,0.0,T
1940-04-09 00:00:00+00:00,8.662999,-1.987,1.0,T
1940-04-10 00:00:00+00:00,6.963,0.31300002,0.70000005,T
1940-04-11 00:00:00+00:00,2.863,-2.187,0.0,T
1940-04-12 00:00:00+00:00,6.063,-2.187,0.0,T
1940-04-13 00:00:00+00:00,4.263,-1.687,3.8,T
1940-04-14 00:00:00+00:00,5.813,1.313,7.6,T
1940-04-15 00:00:00+00:00,7.063,2.163,1.2,T
1940-04-16 00:00:00+00:00,9.813,1.213,0.3,T
1940-04-17 00:00:00+00:00,9.462999,0.41300002,0.0,T
1940-04-18 00:00:00+00:00,9.313,3.713,6.499999,T
1940-04-19 00:00:00+00:00,10.063,3.813,0.0,T
1940-04-20 00:00:00+00:00,10.013,4.813,3.2999997,T
1940-04-21 00:00:00+00:00,7.563,-0.237,0.0,T
1940-04-22 00:00:00+00:00,9.412999,-2.287,0.0,T
1940-04-23 00:00:00+00:00,12.912999,2.863,0.0,T
1940-04-24 00:00:00+00:00,14.462999,3.763,1.2,T
1940-04-25 00:00:00+00:00,7.263,3.913,5.2,T
1940-04-26 00:00:00+00:00,8.662999,3.763,0.0,T
1940-04-27 00:00:00+00:00,8.912999,2.863,0.0,T
1940-04-28 00:00:00+00:00,9.363,0.713,0.0,T
1940-04-29 00:00:00+00:00,10.962999,1.463,0.0,T
1940-04-30 00:00:00+00:00,11.513,3.163,0.0,T
1940-05-01 00:00:00+00:00,13.613,3.363,0.0,T
1940-05-02 00:00:00+00:00,16.463001,4.113,0.1,T
1940-05-03 00:00:00+00:00,16.913,5.363,0.0,T
1940-05-04 00:00:00+00:00,13.613,6.513,0.5,T
1940-05-05 00:00:00+00:00,10.313,7.013,2.7999995,T
1940-05-06 00:00:00+00:00,11.063,5.013,0.3,T
1940-05-07 00:00:00+00:00,13.363,4.163,0.4,T
1940-05-08 00:00:00+00:00,15.063,7.063,0.0,T
1940-05-09 00:00:00+00:00,14.763,7.913,0.0,T
1940-05-10 00:00:00+00:00,11.863,6.863,0.0,T
1940-05-11 00:00:00+00:00,8.863,3.563,1.4000001,T
1940-05-12 00:00:00+00:00,10.363,3.563,0.0,T
1940-05-13 00:00:00+00:00,9.113,4.463,2.1999998,T
1940-05-14 00:00:00+00:00,12.912999,2.663,0.0,T
