date,temperature_2m_max,temperature_2m_min,precipitation_sum,is_historical
1939-12-31 00:00:00+00:00,1.742,-2.2080002,,T
1940-01-01 00:00:00+00:00,-1.508,-5.8580003,0.0,T
1940-01-02 00:00:00+00:00,5.6419997,-3.9580002,0.1,T
1940-01-03 00:00:00+00:00,5.092,1.192,1.2,T
1940-01-04 00:00:00+00:00,3.642,-2.058,0.0,T
1940-01-05 00:00:00+00:00,4.942,0.492,0.1,T
1940-01-06 00:00:00+00:00,8.492001,2.842,8.099999,T
1940-01-07 00:00:00+00:00,8.342,5.042,2.2000003,T
1940-01-08 00:00:00+00:00,5.992,-1.8579999,0.8000001,T
1940-01-09 00:00:00+00:00,-1.458,-5.208,0.0,T
1940-01-10 00:00:00+00:00,-1.808,-6.058,0.0,T
1940-01-11 00:00:00+00:00,-2.9580002,-7.308,0.0,T
1940-01-12 00:00:00+00:00,-0.45799997,-5.6080003,0.0,T
1940-01-13 00:00:00+00:00,1.092,-4.658,0.0,T
1940-01-14 00:00:00+00:00,1.292,-3.8580003,0.0,T
1940-01-15 00:00:00+00:00,1.392,-2.0080001,2.3,T
1940-01-16 00:00:00+00:00,-2.908,-8.358,0.0,T
1940-01-17 00:00:00+00:00,1.8920001,-6.008,0.0,T
1940-01-18 00:00:00+00:00,-1.008,-8.908,0.2,T
1940-01-19 00:00:00+00:00,-5.508,-11.808,0.0,T
1940-01-20 00:00:00+00:00,-0.10800001,-6.508,2.4,T
1940-01-21 00:00:00+00:00,2.9919999,-6.058,0.3,T
1940-01-22 00:00:00+00:00,0.392,-8.007999,0.0,T
1940-01-23 00:00:00+00:00,0.992,-3.4580002,0.0,T
1940-01-24 00:00:00+00:00,-0.70799994,-5.708,0.0,T
1940-01-25 00:00:00+00:00,1.592,-4.208,0.1,T
1940-01-26 00:00:00+00:00,5.242,1.6420001,0.3,T
1940-01-27 00:00:00+00:00,3.842,0.69200003,3.3999999,T
1940-01-28 00:00:00+00:00,-0.8579999,-3.658,6.8000007,T
1940-01-29 00:00:00+00:00,3.4919999,-1.7080001,3.6,T
1940-01-30 00:00:00+00:00,6.242,3.892,11.0,T
1940-01-31 00:00:00+00:00,5.742,2.342,7.5000005,T
1940-02-01 00:00:00+00:00,7.042,3.442,0.1,T
1940-02-02 00:00:00+00:00,8.642,2.892,1.3000002,T
1940-02-03 00:00:00+00:00,11.292001,5.192,5.1999993,T
1940-02-04 00:00:00+00:00,11.242001,4.692,1.9000002,T
1940-02-05 00:00:00+00:00,9.792001,5.342,1.5000001,T
1940-02-06 00:00:00+00:00,9.542001,3.192,2.9999998,T
1940-02-07 00:00:00+00:00,9.242001,5.242,1.5,T
1940-02-08 00:00:00+00:00,7.542,5.292,0.0,T
1940-02-09 00:00:00+00:00,4.042,-3.2080002,0.0,T
1940-02-10 00:00:00+00:00,3.2919998,-4.408,2.2,T
1940-02-11 00:00:00+00:00,-0.908,-7.8580003,0.6,T
1940-02-12 00:00:00+00:00,-5.158,-9.158,0.1,T
1940-02-13 00:00:00+00:00,-5.6080003,-10.058,0.8,T
1940-02-14 00:00:00+00:00,0.992,-8.507999,0.2,T
1940-02-15 00:00:00+00:00,1.442,-5.8580003,0.0,T
1940-02-16 00:00:00+00:00,7.3919997,-0.45799997,6.6000004,T
1940-02-17 00:00:00+00:00,3.192,-5.458,2.8000002,T
1940-02-18 00:00:00+00:00,11.592,2.5419998,7.0,T
1940-02-19 00:00:00+00:00,10.092,8.042,4.899999,T
1940-02-20 00:00:00+00:00,13.542001,6.492,0.0,T
1940-02-21 00:00:00+00:00,14.242001,4.6419997,0.0,T
1940-02-22 00:00:00+00:00,14.042001,8.242001,0.0,T
1940-02-23 00:00:00+00:00,11.042001,7.842,0.1,T
1940-02-24 00:00:00+00:00,11.642,4.842,0.0,T
1940-02-25 00:00:00+00:00,8.792001,3.0419998,0.0,T
1940-02-26 00:00:00+00:00,13.292001,5.992,0.5,T
1940-02-27 00:00:00+00:00,14.992001,8.942,0.0,T
1940-02-28 00:00:00+00:00,12.692,8.592,0.2,T
1940-02-29 00:00:00+00:00,10.592,4.492,0.0,T
1940-03-01 00:00:00+00:00,6.542,0.09200001,0.0,T
1940-03-02 00:00:00+00:00,7.442,-2.658,0.0,T
1940-03-03 00:00:00+00:00,10.292001,-2.7080002,0.0,T
1940-03-04 00:00:00+00:00,5.442,1.742,0.1,T
1940-03-05 00:00:00+00:00,6.192,-0.758,0.4,T
1940-03-06 00:00:00+00:00,3.392,-2.7580001,0.0,T
1940-03-07 00:00:00+00:00,4.742,-1.808,0.0,T
1940-03-08 00:00:00+00:00,8.842,-1.6079999,0.0,T
1940-03-09 00:00:00+00:00,12.242001,-0.20799997,0.0,T
1940-03-10 00:00:00+00:00,13.892,5.292,0.1,T
1940-03-11 00:00:00+00:00,14.842,7.942,2.3,T
1940-03-12 00:00:00+00:00,13.842,9.792001,2.4999998,T
1940-03-13 00:00:00+00:00,11.442,2.442,17.1,T
1940-03-14 00:00:00+00:00,9.392,-1.308,0.0,T
1940-03-15 00:00:00+00:00,10.092,-1.008,0.0,T
1940-03-16 00:00:00+00:00,13.442,5.692,15.300001,T
1940-03-17 00:00:00+00:00,20.842,10.242001,2.7999997,T
1940-03-18 00:00:00+00:00,17.491999,8.842,1.9000001,T
1940-03-19 00:00:00+00:00,12.442,7.192,0.70000005,T
1940-03-20 00:00:00+00:00,14.042001,7.6419997,0.0,T
1940-03-21 00:00:00+00:00,17.192,7.542,0.90000004,T
1940-03-22 00:00:00+00:00,12.692,7.792,0.1,T
1940-03-23 00:00:00+00:00,16.942,7.042,0.0,T
1940-03-24 00:00:00+00:00,17.792,7.992,0.0,T
1940-03-25 00:00:00+00:00,15.442,10.342,6.1999993,T
1940-03-26 00:00:00+00:00,10.792001,3.442,0.70000005,T
1940-03-27 00:00:00+00:00,5.242,0.642,1.3000001,T
1940-03-28 00:00:00+00:00,8.042,-2.7580001,0.1,T
1940-03-29 00:00:00+00:00,11.842,4.392,1.4000001,T
1940-03-30 00:00:00+00:00,15.692,3.142,0.0,T
1940-03-31 00:00:00+00:00,16.842,6.6419997,0.0,T
1940-04-01 00:00:00+00:00,12.442,6.342,5.9999995,T
1940-04-02 00:00:00+00:00,10.692,6.792,3.3999999,T
1940-04-03 00:00:00+00:00,14.842,6.242,1.0,T
1940-04-04 00:00:00+00:00,11.942,7.8919997,0.8000001,T
1940-04-05 00:00:00+00:00,9.092,2.342,0.0,T
1940-04-06 00:00:00+00:00,12.442,1.092,0.0,T
1940-04-07 00:00:00+00:00,12.142,2.392,1.5000002,T
1940-04-08 00:00:00+00:00,8.342,4.392,1.6000001,T
1940-04-09 00:00:00+00:00,9.292001,0.592,2.0,T
1940-04-10 00:00:00+00:00,8.242001,1.792,0.0,T
1940-04-11 00:00:00+00:00,9.192,2.4919999,3.9999998,T
1940-04-12 00:00:00+00:00,8.892,1.992,0.6,T
1940-04-13 00:00:00+00:00,10.442,2.7419999,1.9000001,T
1940-04-14 00:00:00+00:00,11.192,6.1419997,3.0,T
1940-04-15 00:00:00+00:00,8.892,5.3919997,11.500001,T
1940-04-16 00:00:00+00:00,12.392,4.792,1.5000002,T
1940-04-17 00:00:00+00:00,14.142,4.6419997,2.9999998,T
1940-04-18 00:00:00+00:00,15.342,6.442,1.3000001,T
1940-04-19 00:00:00+00:00,19.942,8.542001,0.0,T
1940-04-20 00:00:00+00:00,22.542,11.042001,0.0,T
1940-04-21 00:00:00+00:00,22.642,11.042001,0.0,T
1940-04-22 00:00:00+00:00,21.942,11.542001,0.1,T
1940-04-23 00:00:00+00:00,18.741999,12.842,6.4000006,T
1940-04-24 00:00:00+00:00,14.642,9.342,4.1999993,T
1940-04-25 00:00:00+00:00,16.342,10.242001,7.7,T
1940-04-26 00:00:00+00:00,18.192,11.742001,7.9000006,T
1940-04-27 00:00:00+00:00,17.092,11.192,1.9000001,T
1940-04-28 00:00:00+00:00,18.342,9.792001,1.4000001,T
1940-04-29 00:00:00+00:00,17.442,9.742001,3.9,T
1940-04-30 00:00:00+00:00,19.692,7.592,0.2,T
1940-05-01 00:00:00+00:00,19.542,6.742,0.70000005,T
1940-05-02 00:00:00+00:00,21.042,11.792001,4.7999997,T
1940-05-03 00:00:00+00:00,15.792001,11.892,2.0000002,T
1940-05-04 00:00:00+00:00,14.892,9.642,1.0,T
1940-05-05 00:00:00+00:00,18.542,8.492001,0.0,T
1940-05-06 00:00:00+00:00,19.942,8.292,0.0,T
1940-05-07 00:00:00+00:00,18.942,8.642,0.0,T
1940-05-08 00:00:00+00:00,20.342,9.942,0.3,T
1940-05-09 00:00:00+00:00,21.741999,11.242001,0.0,T
1940-05-10 00:00:00+00:00,19.592,10.992001,0.0,T
1940-05-11 00:00:00+00:00,15.092,6.342,0.0,T
1940-05-12 00:00:00+00:00,16.892,6.692,0.0,T
1940-05-13 00:00:00+00:00,21.842,7.6419997,0.0,T
1940-05-14 00:00:00+00:00,23.442,12.492001,0.1,T
1940-05-15 00:00:00+00:00,19.592,11.242001,9.700001,T
1940-05-16 00:00:00+00:00,15.942,7.692,0.0,T
1940-05-17 00:00:00+00:00,18.241999,7.692,0.0,T
1940-05-18 00:00:00+00:00,19.092,10.442,0.0,T
1940-05-19 00:00:00+00:00,19.692,8.692,0.0,T
1940-05-20 00:00:00+00:00,22.542,10.692,0.6,T
1940-05-21 00:00:00+00:00,18.292,13.842,16.300001,T
1940-05-22 00:00:00+00:00,20.292,9.892,3.8999999,T
1940-05-23 00:00:00+00:00,22.092,9.242001,0.0,T
1940-05-24 00:00:00+00:00,26.192,12.142,0.0,T
1940-05-25 00:00:00+00:00,26.192,17.292,0.0,T
1940-05-26 00:00:00+00:00,22.942,15.042001,0.0,T
1940-05-27 00:00:00+00:00,22.892,14.742001,0.1,T
1940-05-28 00:00:00+00:00,19.292,12.542001,0.4,T
1940-05-29 00:00:00+00:00,17.642,11.442,1.4000001,T
1940-05-30 00:00:00+00:00,19.142,10.042001,0.0,T
1940-05-31 00:00:00+00:00,18.991999,9.192,0.4,T
1940-06-01 00:00:00+00:00,20.192,11.992001,0.0,T
1940-06-02 00:00:00+00:00,22.342,10.992001,0.0,T
1940-06-03 00:00:00+00:00,24.892,13.592,0.0,T
1940-06-04 00:00:00+00:00,26.491999,15.442,0.0,T
