date,temperature_2m_max,temperature_2m_min,precipitation_sum,is_historical
1939-12-31 00:00:00+00:00,-2.019,-9.919,,T
1940-01-01 00:00:00+00:00,-7.119,-16.318998,0.0,T
1940-01-02 00:00:00+00:00,-6.219,-15.568999,0.0,T
1940-01-03 00:00:00+00:00,-8.269,-16.469,0.0,T
1940-01-04 00:00:00+00:00,-9.819,-19.719,0.0,T
1940-01-05 00:00:00+00:00,-7.169,-16.168999,0.0,T
1940-01-06 00:00:00+00:00,-6.469,-17.318998,0.0,T
1940-01-07 00:00:00+00:00,-8.919,-17.119,0.0,T
1940-01-08 00:00:00+00:00,-9.519,-18.219,0.0,T
1940-01-09 00:00:00+00:00,-15.119,-21.318998,0.0,T
1940-01-10 00:00:00+00:00,-15.319,-25.918999,0.0,T
1940-01-11 00:00:00+00:00,-9.069,-22.918999,0.0,T
1940-01-12 00:00:00+00:00,-7.769,-19.568998,0.0,T
1940-01-13 00:00:00+00:00,0.481,-13.069,0.0,T
1940-01-14 00:00:00+00:00,0.731,-1.6690001,0.0,T
1940-01-15 00:00:00+00:00,-1.869,-5.719,1.6,T
1940-01-16 00:00:00+00:00,-5.8190002,-19.119,3.1999993,T
1940-01-17 00:00:00+00:00,-13.369,-20.168999,0.1,T
1940-01-18 00:00:00+00:00,-11.969,-15.619,4.1,T
1940-01-19 00:00:00+00:00,-11.619,-15.869,0.8000001,T
1940-01-20 00:00:00+00:00,-9.269,-14.369,0.5,T
1940-01-21 00:00:00+00:00,-10.469,-18.818998,0.0,T
1940-01-22 00:00:00+00:00,-10.769,-14.469,0.0,T
1940-01-23 00:00:00+00:00,-7.519,-14.019,0.0,T
1940-01-24 00:00:00+00:00,-6.5690002,-17.719,0.0,T
1940-01-25 00:00:00+00:00,-3.269,-10.619,0.0,T
1940-01-26 00:00:00+00:00,-4.0690002,-7.119,1.0000001,T
1940-01-27 00:00:00+00:00,-3.619,-8.919,1.4000001,T
1940-01-28 00:00:00+00:00,-5.0690002,-11.919,0.0,T
1940-01-29 00:00:00+00:00,-8.669,-17.318998,0.0,T
1940-01-30 00:00:00+00:00,-8.219,-15.119,0.0,T
1940-01-31 00:00:00+00:00,-10.919,-20.469,0.0,T
1940-02-01 00:00:00+00:00,-7.269,-10.969,0.0,T
1940-02-02 00:00:00+00:00,-3.469,-7.469,0.1,T
1940-02-03 00:00:00+00:00,-3.9190001,-10.919,0.0,T
1940-02-04 00:00:00+00:00,-0.619,-9.169,0.0,T
1940-02-05 00:00:00+00:00,1.5810001,-2.519,0.4,T
1940-02-06 00:00:00+00:00,3.8309999,0.781,0.0,T
1940-02-07 00:00:00+00:00,4.881,1.381,1.8,T
1940-02-08 00:00:00+00:00,2.781,-9.869,2.6,T
1940-02-09 00:00:00+00:00,-9.869,-15.869,0.4,T
1940-02-10 00:00:00+00:00,-7.8690004,-19.019,0.4,T
1940-02-11 00:00:00+00:00,-6.619,-18.519,1.2000002,T
1940-02-12 00:00:00+00:00,-13.019,-17.318998,0.6,T
1940-02-13 00:00:00+00:00,-12.419,-17.568998,0.9000001,T
1940-02-14 00:00:00+00:00,-8.269,-13.419,4.7000003,T
1940-02-15 00:00:00+00:00,-9.069,-16.619,1.1,T
1940-02-16 00:00:00+00:00,-7.169,-19.969,0.0,T
1940-02-17 00:00:00+00:00,-8.369,-19.168999,0.0,T
1940-02-18 00:00:00+00:00,-3.119,-10.719,3.5,T
1940-02-19 00:00:00+00:00,-6.119,-18.369,0.0,T
1940-02-20 00:00:00+00:00,-4.369,-23.619,0.0,T
1940-02-21 00:00:00+00:00,0.481,-17.568998,0.0,T
1940-02-22 00:00:00+00:00,4.331,-13.969,0.0,T
1940-02-23 00:00:00+00:00,5.1809998,-3.769,1.5000001,T
1940-02-24 00:00:00+00:00,4.081,-3.7189999,0.0,T
1940-02-25 00:00:00+00:00,1.381,-8.269,0.0,T
1940-02-26 00:00:00+00:00,4.531,-7.6190004,0.0,T
1940-02-27 00:00:00+00:00,9.631,-3.8190002,0.0,T
1940-02-28 00:00:00+00:00,9.731,0.731,0.4,T
1940-02-29 00:00:00+00:00,3.781,-3.9689999,0.2,T
1940-03-01 00:00:00+00:00,-2.4190001,-6.019,0.1,T
1940-03-02 00:00:00+00:00,1.681,-6.769,0.0,T
1940-03-03 00:00:00+00:00,4.431,1.381,0.4,T
1940-03-04 00:00:00+00:00,3.531,-1.819,3.1999998,T
1940-03-05 00:00:00+00:00,-1.9690001,-4.5690002,2.1000001,T
1940-03-06 00:00:00+00:00,-0.66899997,-4.869,0.9000001,T
1940-03-07 00:00:00+00:00,-1.9690001,-7.9189997,0.1,T
1940-03-08 00:00:00+00:00,1.881,-8.369,1.3000001,T
1940-03-09 00:00:00+00:00,3.381,0.481,1.2,T
1940-03-10 00:00:00+00:00,6.6809998,1.631,0.0,T
1940-03-11 00:00:00+00:00,11.931,4.581,0.0,T
1940-03-12 00:00:00+00:00,12.181,5.531,0.8000001,T
1940-03-13 00:00:00+00:00,14.931,7.1809998,1.5,T
1940-03-14 00:00:00+00:00,5.4309998,-3.219,1.6000001,T
