date,temperature_2m_max,temperature_2m_min,precipitation_sum,is_historical
1940-01-01 00:00:00+00:00,2.091,-3.359,,T
1940-01-02 00:00:00+00:00,0.841,-1.109,3.4,T
1940-01-03 00:00:00+00:00,3.5909998,-1.0090001,5.7,T
1940-01-04 00:00:00+00:00,4.841,0.991,1.9,T
1940-01-05 00:00:00+00:00,5.941,3.741,4.5,T
1940-01-06 00:00:00+00:00,5.7910004,-0.759,4.7,T
1940-01-07 00:00:00+00:00,5.0410004,2.391,3.4,T
1940-01-08 00:00:00+00:00,7.091,3.791,11.8,T
1940-01-09 00:00:00+00:00,9.891,7.091,26.1,T
1940-01-10 00:00:00+00:00,7.591,1.7909999,5.1999993,T
1940-01-11 00:00:00+00:00,9.641,1.391,14.0,T
1940-01-12 00:00:00+00:00,8.391,0.14099997,6.999999,T
1940-01-13 00:00:00+00:00,0.691,-2.759,1.3000002,T
1940-01-14 00:00:00+00:00,-0.70900005,-8.658999,0.6,T
1940-01-15 00:00:00+00:00,-6.259,-11.009,0.0,T
1940-01-16 00:00:00+00:00,-5.1089997,-6.3589997,2.2,T
1940-01-17 00:00:00+00:00,-6.6089997,-10.509,0.0,T
1940-01-18 00:00:00+00:00,-8.709,-10.809,0.0,T
1940-01-19 00:00:00+00:00,-10.559,-12.059,0.0,T
1940-01-20 00:00:00+00:00,-10.709,-13.809,0.0,T
1940-01-21 00:00:00+00:00,-8.559,-14.408999,0.0,T
1940-01-22 00:00:00+00:00,-0.30899996,-10.859,1.2,T
1940-01-23 00:00:00+00:00,2.891,-0.20899999,6.3,T
1940-01-24 00:00:00+00:00,3.641,1.8410001,3.8000002,T
1940-01-25 00:00:00+00:00,3.5909998,-0.259,3.1,T
1940-01-26 00:00:00+00:00,6.491,-0.95900005,7.7,T
1940-01-27 00:00:00+00:00,6.341,4.841,7.099999,T
1940-01-28 00:00:00+00:00,6.2910004,3.941,4.599999,T
1940-01-29 00:00:00+00:00,5.341,3.691,3.7000003,T
1940-01-30 00:00:00+00:00,5.3910003,-2.309,0.2,T
1940-01-31 00:00:00+00:00,-1.309,-3.609,0.0,T
1940-02-01 00:00:00+00:00,-2.759,-6.1089997,0.0,T
1940-02-02 00:00:00+00:00,-2.559,-6.159,0.0,T
1940-02-03 00:00:00+00:00,3.5909998,-3.5590003,0.70000005,T
1940-02-04 00:00:00+00:00,4.741,2.941,2.0000002,T
1940-02-05 00:00:00+00:00,4.991,2.491,2.7999997,T
1940-02-06 00:00:00+00:00,5.841,4.491,6.6000004,T
1940-02-07 00:00:00+00:00,6.591,4.041,1.9000001,T
1940-02-08 00:00:00+00:00,5.091,0.59099996,2.1000001,T
1940-02-09 00:00:00+00:00,4.291,-0.95900005,9.900001,T
1940-02-10 00:00:00+00:00,6.6410003,-4.6089997,5.4,T
1940-02-11 00:00:00+00:00,5.341,2.941,0.4,T
1940-02-12 00:00:00+00:00,4.8910003,0.44099998,0.0,T
1940-02-13 00:00:00+00:00,3.241,-1.0090001,0.0,T
1940-02-14 00:00:00+00:00,2.8409998,-2.259,0.0,T
1940-02-15 00:00:00+00:00,3.391,-2.709,0.0,T
