date,temperature_2m_max,temperature_2m_min,precipitation_sum,is_historical
1939-12-31 00:00:00+00:00,-2.4049997,-13.555,,T
1940-01-01 00:00:00+00:00,-7.105,-16.605,0.2,T
1940-01-02 00:00:00+00:00,-2.2549996,-24.955,0.0,T
1940-01-03 00:00:00+00:00,1.0950003,-15.305,0.0,T
1940-01-04 00:00:00+00:00,3.3450003,-4.1549997,1.1000001,T
1940-01-05 00:00:00+00:00,-1.1549997,-7.5049996,0.0,T
1940-01-06 00:00:00+00:00,0.34500027,-12.004999,0.0,T
1940-01-07 00:00:00+00:00,0.045000076,-15.355,0.0,T
1940-01-08 00:00:00+00:00,-2.7549996,-15.055,0.0,T
1940-01-09 00:00:00+00:00,-9.105,-13.505001,0.4,T
1940-01-10 00:00:00+00:00,-10.855,-14.855,2.9000003,T
1940-01-11 00:00:00+00:00,-7.155,-16.855,0.0,T
1940-01-12 00:00:00+00:00,-3.1549997,-17.205,0.0,T
1940-01-13 00:00:00+00:00,3.045,-15.805,0.0,T
1940-01-14 00:00:00+00:00,5.995,-10.504999,0.0,T
1940-01-15 00:00:00+00:00,2.545,-6.2049994,1.9000003,T
1940-01-16 00:00:00+00:00,6.0950003,-1.105,3.6999993,T
1940-01-17 00:00:00+00:00,1.0950003,-13.405001,14.900001,T
1940-01-18 00:00:00+00:00,-12.205,-17.505001,5.199999,T
1940-01-19 00:00:00+00:00,-5.355,-24.005001,3.5,T
1940-01-20 00:00:00+00:00,-10.254999,-14.705,11.300002,T
1940-01-21 00:00:00+00:00,0.6450002,-16.505001,13.9,T
1940-01-22 00:00:00+00:00,7.5950003,1.5450002,8.7,T
1940-01-23 00:00:00+00:00,-0.7049999,-9.004999,6.200001,T
1940-01-24 00:00:00+00:00,-1.855,-7.7049994,1.3000002,T
1940-01-25 00:00:00+00:00,0.39500022,-3.855,0.0,T
1940-01-26 00:00:00+00:00,0.7950001,-7.355,0.0,T
1940-01-27 00:00:00+00:00,-2.355,-14.305,0.1,T
1940-01-28 00:00:00+00:00,-4.9549994,-10.504999,0.6,T
1940-01-29 00:00:00+00:00,-3.705,-15.605,0.0,T
1940-01-30 00:00:00+00:00,3.4950001,-8.655001,0.0,T
1940-01-31 00:00:00+00:00,5.445,-5.405,1.3,T
1940-02-01 00:00:00+00:00,8.145,2.8950002,2.3999999,T
1940-02-02 00:00:00+00:00,7.695,4.745,2.5999994,T
1940-02-03 00:00:00+00:00,8.895,2.045,0.0,T
1940-02-04 00:00:00+00:00,8.795,2.3450003,0.0,T
1940-02-05 00:00:00+00:00,8.445,1.3450003,1.4000001,T
1940-02-06 00:00:00+00:00,5.445,2.3450003,5.7999997,T
1940-02-07 00:00:00+00:00,6.795,0.84500027,0.0,T
1940-02-08 00:00:00+00:00,7.045,-1.355,0.2,T
1940-02-09 00:00:00+00:00,7.045,1.3950002,10.7,T
1940-02-10 00:00:00+00:00,-2.6549997,-15.355,0.6,T
1940-02-11 00:00:00+00:00,2.9950001,-10.905001,1.6,T
1940-02-12 00:00:00+00:00,1.1450002,-13.405001,35.600002,T
1940-02-13 00:00:00+00:00,-10.055,-16.455,4.6999993,T
1940-02-14 00:00:00+00:00,-5.355,-16.755001,3.1000001,T
1940-02-15 00:00:00+00:00,-6.4549994,-21.305,0.0,T
1940-02-16 00:00:00+00:00,-3.355,-14.055,0.2,T
1940-02-17 00:00:00+00:00,-0.8049998,-11.305,0.4,T
1940-02-18 00:00:00+00:00,-0.605,-13.055,0.4,T
1940-02-19 00:00:00+00:00,-1.5049996,-11.355,1.0000001,T
1940-02-20 00:00:00+00:00,-8.555,-12.755001,1.3000002,T
1940-02-21 00:00:00+00:00,0.5450001,-16.205,0.0,T
1940-02-22 00:00:00+00:00,8.295,-10.055,0.0,T
1940-02-23 00:00:00+00:00,9.045,-4.7549996,0.0,T
1940-02-24 00:00:00+00:00,11.995001,-2.0049996,0.0,T
1940-02-25 00:00:00+00:00,14.145,0.29500008,0.0,T
1940-02-26 00:00:00+00:00,12.695,-0.10499978,0.0,T
1940-02-27 00:00:00+00:00,12.295,-1.1549997,0.0,T
1940-02-28 00:00:00+00:00,13.344999,-1.9049997,0.0,T
1940-02-29 00:00:00+00:00,11.395,0.49500012,0.90000004,T
1940-03-01 00:00:00+00:00,-1.2049999,-9.205,0.5,T
1940-03-02 00:00:00+00:00,-1.2049999,-9.305,0.0,T
1940-03-03 00:00:00+00:00,4.2450004,-6.105,0.0,T
1940-03-04 00:00:00+00:00,6.0950003,-3.855,1.6,T
1940-03-05 00:00:00+00:00,-0.05499983,-4.9549994,15.7,T
1940-03-06 00:00:00+00:00,-6.2549996,-10.254999,8.100002,T
1940-03-07 00:00:00+00:00,-5.055,-10.754999,1.3000002,T
1940-03-08 00:00:00+00:00,-5.355,-10.855,1.1000001,T
1940-03-09 00:00:00+00:00,3.045,-13.855,0.0,T
1940-03-10 00:00:00+00:00,5.3950005,-7.855,0.0,T
1940-03-11 00:00:00+00:00,6.3450003,-1.9549999,0.0,T
1940-03-12 00:00:00+00:00,9.045,1.0450001,0.5,T
1940-03-13 00:00:00+00:00,11.495001,4.995,1.5000001,T
1940-03-14 00:00:00+00:00,9.745001,-0.20499992,7.1,T
1940-03-15 00:00:00+00:00,1.9950001,-4.805,0.2,T
1940-03-16 00:00:00+00:00,5.745,-3.0549998,0.0,T
1940-03-17 00:00:00+00:00,2.9450002,-3.6549997,0.0,T
1940-03-18 00:00:00+00:00,9.445,-6.555,0.0,T
1940-03-19 00:00:00+00:00,7.245,-1.2049999,0.0,T
1940-03-20 00:00:00+00:00,11.345,-1.8049998,0.0,T
1940-03-21 00:00:00+00:00,9.345,1.4950001,1.0000001,T
1940-03-22 00:00:00+00:00,11.545,0.44500017,0.0,T
