date,temperature_2m_max,temperature_2m_min,precipitation_sum,is_historical
1939-12-31 00:00:00+00:00,-19.4945,-27.1945,,T
1940-01-01 00:00:00+00:00,-14.7945,-29.1945,0.2,T
1940-01-02 00:00:00+00:00,-3.0444999,-13.7945,8.2,T
1940-01-03 00:00:00+00:00,-3.4445,-7.4945,0.90000004,T
1940-01-04 00:00:00+00:00,-3.0444999,-6.4445,3.1,T
1940-01-05 00:00:00+00:00,-0.6445,-21.6445,2.9000003,T
1940-01-06 00:00:00+00:00,-21.7445,-29.1945,0.0,T
1940-01-07 00:00:00+00:00,-22.4945,-29.2445,0.0,T
1940-01-08 00:00:00+00:00,-21.3445,-29.8945,0.0,T
1940-01-09 00:00:00+00:00,-22.9945,-26.2945,0.0,T
1940-01-10 00:00:00+00:00,-17.9445,-27.9445,0.0,T
1940-01-11 00:00:00+00:00,0.4555,-18.1945,1.2,T
1940-01-12 00:00:00+00:00,0.6555,-0.7444999,1.2,T
1940-01-13 00:00:00+00:00,0.6055,-1.5445,0.70000005,T
1940-01-14 00:00:00+00:00,-1.1445,-10.1945,0.1,T
1940-01-15 00:00:00+00:00,-13.1945,-35.0945,0.0,T
1940-01-16 00:00:00+00:00,-24.4445,-32.1445,0.0,T
1940-01-17 00:00:00+00:00,-18.9945,-26.5445,0.0,T
1940-01-18 00:00:00+00:00,-16.2445,-26.8445,0.6,T
1940-01-19 00:00:00+00:00,-2.7944999,-16.2945,9.099999,T
1940-01-20 00:00:00+00:00,-3.0444999,-7.7445,5.1,T
1940-01-21 00:00:00+00:00,-3.5945,-17.7445,2.4999998,T
1940-01-22 00:00:00+00:00,-5.7445,-18.9945,5.9999995,T
1940-01-23 00:00:00+00:00,-5.0445,-13.5445,0.2,T
1940-01-24 00:00:00+00:00,-8.7945,-11.3945,0.0,T
1940-01-25 00:00:00+00:00,-10.1445,-12.1945,0.1,T
1940-01-26 00:00:00+00:00,-6.2445,-11.0945,5.0,T
1940-01-27 00:00:00+00:00,-7.2445,-12.2445,2.3,T
1940-01-28 00:00:00+00:00,-11.2945,-13.7445,1.4000001,T
1940-01-29 00:00:00+00:00,-13.8445,-19.8945,0.0,T
1940-01-30 00:00:00+00:00,-19.3445,-22.7945,0.0,T
1940-01-31 00:00:00+00:00,-22.0445,-25.9945,0.0,T
1940-02-01 00:00:00+00:00,-12.8945,-22.3945,0.5,T
1940-02-02 00:00:00+00:00,-14.0945,-18.7445,0.0,T
1940-02-03 00:00:00+00:00,-17.7945,-22.1945,0.0,T
1940-02-04 00:00:00+00:00,-18.2445,-23.7445,0.0,T
1940-02-05 00:00:00+00:00,-20.0945,-29.9945,0.0,T
1940-02-06 00:00:00+00:00,-13.0945,-20.8945,0.0,T
1940-02-07 00:00:00+00:00,-13.7445,-18.3945,0.0,T
1940-02-08 00:00:00+00:00,-18.1945,-25.4945,0.0,T
1940-02-09 00:00:00+00:00,-19.8445,-26.7945,0.0,T
1940-02-10 00:00:00+00:00,-19.7445,-28.3445,0.2,T
1940-02-11 00:00:00+00:00,-15.894501,-24.1945,1.1,T
1940-02-12 00:00:00+00:00,-7.2945,-18.6945,3.1,T
1940-02-13 00:00:00+00:00,-7.5945,-14.6945,0.0,T
1940-02-14 00:00:00+00:00,-11.3945,-17.0945,2.1,T
1940-02-15 00:00:00+00:00,-12.5945,-20.6945,0.0,T
1940-02-16 00:00:00+00:00,-6.0445,-12.0945,2.5999997,T
1940-02-17 00:00:00+00:00,-9.5945,-15.3445,1.0,T
1940-02-18 00:00:00+00:00,-13.9445,-22.8445,0.4,T
1940-02-19 00:00:00+00:00,-13.8945,-21.4445,0.4,T
1940-02-20 00:00:00+00:00,-13.9945,-29.1445,0.0,T
1940-02-21 00:00:00+00:00,-4.6445,-13.5945,3.1999998,T
1940-02-22 00:00:00+00:00,1.9055,-5.9445,0.2,T
1940-02-23 00:00:00+00:00,2.4055,1.5055001,3.8999999,T
1940-02-24 00:00:00+00:00,2.6055,-8.3945,5.199999,T
1940-02-25 00:00:00+00:00,-2.3445,-9.7945,0.0,T
1940-02-26 00:00:00+00:00,-4.6445,-10.0945,0.0,T
1940-02-27 00:00:00+00:00,2.0555,-8.8945,0.90000004,T
1940-02-28 00:00:00+00:00,3.6055,0.5055,2.9000003,T
1940-02-29 00:00:00+00:00,0.1555,-10.8945,2.3,T
1940-03-01 00:00:00+00:00,-6.5445,-9.9945,0.0,T
1940-03-02 00:00:00+00:00,-6.4945,-14.9445,0.0,T
1940-03-03 00:00:00+00:00,-6.8445,-12.8445,0.0,T
1940-03-04 00:00:00+00:00,-6.9445,-13.2945,1.5,T
1940-03-05 00:00:00+00:00,-6.1945,-11.4945,1.7000003,T
1940-03-06 00:00:00+00:00,-3.7445002,-8.4445,2.1000001,T
1940-03-07 00:00:00+00:00,-3.8944998,-8.9445,0.4,T
1940-03-08 00:00:00+00:00,-3.5945,-9.1445,2.7,T
1940-03-09 00:00:00+00:00,-0.7945,-4.1445,6.899999,T
1940-03-10 00:00:00+00:00,-3.7445002,-10.5945,1.1,T
1940-03-11 00:00:00+00:00,3.0555,-4.0945,7.799999,T
1940-03-12 00:00:00+00:00,4.2055,2.6555,4.6999993,T
1940-03-13 00:00:00+00:00,3.3055,-0.4445,3.9999998,T
1940-03-14 00:00:00+00:00,0.90550005,-10.0445,14.099999,T
1940-03-15 00:00:00+00:00,-7.5945,-15.6445,0.1,T
1940-03-16 00:00:00+00:00,-6.1945,-11.8445,0.4,T
1940-03-17 00:00:00+00:00,-1.5945,-13.0945,0.0,T
1940-03-18 00:00:00+00:00,-4.8445,-12.6445,0.0,T
1940-03-19 00:00:00+00:00,-5.8445,-11.0945,0.0,T
1940-03-20 00:00:00+00:00,-5.1445,-11.4945,0.0,T
1940-03-21 00:00:00+00:00,-2.2944999,-7.7445,0.0,T
1940-03-22 00:00:00+00:00,0.2055,-5.5945,7.5000005,T
1940-03-23 00:00:00+00:00,2.4055,-0.6445,1.5000001,T
1940-03-24 00:00:00+00:00,1.9055,-2.0444999,0.1,T
1940-03-25 00:00:00+00:00,1.6555,-1.0445,0.0,T
1940-03-26 00:00:00+00:00,3.4555001,0.3055,4.9999995,T
1940-03-27 00:00:00+00:00,3.0555,0.4055,1.2000002,T
1940-03-28 00:00:00+00:00,1.9555,-3.8445,0.1,T
1940-03-29 00:00:00+00:00,-2.3445,-7.8444996,0.9000001,T
1940-03-30 00:00:00+00:00,1.9055,-7.9445,0.0,T
1940-03-31 00:00:00+00:00,3.8555,-3.6445,0.4,T
1940-04-01 00:00:00+00:00,9.4055,2.2555,0.0,T
1940-04-02 00:00:00+00:00,7.1555,0.4055,1.8000001,T
1940-04-03 00:00:00+00:00,3.3555,-3.0444999,0.5,T
1940-04-04 00:00:00+00:00,3.5055,-4.2945,0.0,T
1940-04-05 00:00:00+00:00,4.2555,-4.6445,0.0,T
1940-04-06 00:00:00+00:00,4.9555,-2.9445,0.0,T
1940-04-07 00:00:00+00:00,4.7555,-3.3945,0.0,T
1940-04-08 00:00:00+00:00,6.2555,-2.7445,0.0,T
1940-04-09 00:00:00+00:00,7.3555,-3.0444999,0.0,T
