date,temperature_2m_max,temperature_2m_min,precipitation_sum,is_historical
1939-12-31 00:00:00+00:00,3.5839999,-0.816,,T
1940-01-01 00:00:00+00:00,2.134,-1.666,0.70000005,T
1940-01-02 00:00:00+00:00,2.684,-3.9160001,0.0,T
1940-01-03 00:00:00+00:00,5.984,0.98399997,8.8,T
1940-01-04 00:00:00+00:00,9.934,6.0340004,5.7,T
1940-01-05 00:00:00+00:00,6.5340004,4.3840003,0.0,T
1940-01-06 00:00:00+00:00,6.834,2.184,0.0,T
1940-01-07 00:00:00+00:00,6.234,1.884,0.0,T
1940-01-08 00:00:00+00:00,6.8840003,1.634,0.0,T
1940-01-09 00:00:00+00:00,3.534,0.334,16.8,T
1940-01-10 00:00:00+00:00,1.184,-0.21599999,19.899994,T
1940-01-11 00:00:00+00:00,1.634,0.234,5.399999,T
1940-01-12 00:00:00+00:00,0.834,-0.41599998,0.0,T
1940-01-13 00:00:00+00:00,2.884,-2.966,0.0,T
1940-01-14 00:00:00+00:00,4.3840003,-2.216,0.0,T
1940-01-15 00:00:00+00:00,5.434,3.3339999,7.9999995,T
1940-01-16 00:00:00+00:00,4.6340003,1.134,0.0,T
1940-01-17 00:00:00+00:00,6.684,-1.8659999,31.299997,T
1940-01-18 00:00:00+00:00,-2.1660001,-6.816,4.5999994,T
1940-01-19 00:00:00+00:00,-0.066000015,-9.116,1.8,T
1940-01-20 00:00:00+00:00,0.234,-6.6159997,2.4999998,T
1940-01-21 00:00:00+00:00,0.53400004,-5.566,6.299999,T
1940-01-22 00:00:00+00:00,2.134,0.184,17.599998,T
1940-01-23 00:00:00+00:00,4.434,2.5839999,36.499996,T
1940-01-24 00:00:00+00:00,4.484,2.384,4.2999997,T
1940-01-25 00:00:00+00:00,4.684,3.3339999,0.0,T
1940-01-26 00:00:00+00:00,4.5340004,2.684,0.1,T
1940-01-27 00:00:00+00:00,4.584,1.234,0.4,T
1940-01-28 00:00:00+00:00,3.434,-0.816,0.0,T
1940-01-29 00:00:00+00:00,4.434,-2.366,0.0,T
1940-01-30 00:00:00+00:00,5.1340003,2.134,0.4,T
1940-01-31 00:00:00+00:00,5.834,2.5839999,4.0,T
1940-02-01 00:00:00+00:00,5.8840003,3.784,2.1000001,T
1940-02-02 00:00:00+00:00,5.584,3.384,1.8000001,T
1940-02-03 00:00:00+00:00,9.084001,2.134,0.0,T
1940-02-04 00:00:00+00:00,8.584001,4.934,0.1,T
1940-02-05 00:00:00+00:00,7.734,5.684,2.3,T
1940-02-06 00:00:00+00:00,8.784,5.0340004,1.5000001,T
1940-02-07 00:00:00+00:00,10.084001,3.8339999,0.70000005,T
1940-02-08 00:00:00+00:00,9.384,5.334,5.2000003,T
1940-02-09 00:00:00+00:00,7.2840004,5.5340004,11.099999,T
1940-02-10 00:00:00+00:00,5.234,1.334,1.3000001,T
1940-02-11 00:00:00+00:00,8.334001,1.184,2.5,T
1940-02-12 00:00:00+00:00,5.584,-2.766,13.700002,T
1940-02-13 00:00:00+00:00,-2.4160001,-6.016,3.5999997,T
1940-02-14 00:00:00+00:00,-3.8160002,-8.816,0.8000001,T
1940-02-15 00:00:00+00:00,2.384,-7.3659997,0.0,T
1940-02-16 00:00:00+00:00,3.734,-1.4660001,0.90000004,T
1940-02-17 00:00:00+00:00,4.184,1.884,5.5999994,T
1940-02-18 00:00:00+00:00,7.234,-0.16600001,0.0,T
1940-02-19 00:00:00+00:00,8.984,-0.116,0.0,T
1940-02-20 00:00:00+00:00,2.434,-1.016,0.0,T
1940-02-21 00:00:00+00:00,4.7840004,-1.2160001,0.0,T
1940-02-22 00:00:00+00:00,8.734,-0.666,0.0,T
1940-02-23 00:00:00+00:00,11.284,-0.36600003,0.0,T
1940-02-24 00:00:00+00:00,10.834001,1.184,0.0,T
1940-02-25 00:00:00+00:00,9.534,3.484,0.0,T
1940-02-26 00:00:00+00:00,9.184,4.434,0.1,T
1940-02-27 00:00:00+00:00,10.784,0.73399997,0.0,T
1940-02-28 00:00:00+00:00,11.084001,2.084,0.0,T
1940-02-29 00:00:00+00:00,11.784,3.034,0.0,T
1940-03-01 00:00:00+00:00,6.5340004,-0.76600003,0.0,T
1940-03-02 00:00:00+00:00,4.084,-2.066,0.0,T
1940-03-03 00:00:00+00:00,8.334001,-1.166,0.0,T
1940-03-04 00:00:00+00:00,12.134,1.734,0.0,T
1940-03-05 00:00:00+00:00,7.234,3.534,3.7999995,T
1940-03-06 00:00:00+00:00,4.184,1.134,0.3,T
1940-03-07 00:00:00+00:00,4.5340004,-0.466,1.6000001,T
1940-03-08 00:00:00+00:00,5.234,-0.61600006,0.5,T
1940-03-09 00:00:00+00:00,10.334001,-1.066,0.0,T
1940-03-10 00:00:00+00:00,11.034,2.434,0.0,T
1940-03-11 00:00:00+00:00,12.234,2.484,0.0,T
1940-03-12 00:00:00+00:00,15.384,6.934,0.90000004,T
1940-03-13 00:00:00+00:00,16.734,7.5340004,0.0,T
1940-03-14 00:00:00+00:00,15.184,6.7840004,0.4,T
1940-03-15 00:00:00+00:00,8.634,3.8339999,0.0,T
1940-03-16 00:00:00+00:00,10.734,3.034,0.0,T
1940-03-17 00:00:00+00:00,11.184,1.7839999,0.0,T
1940-03-18 00:00:00+00:00,12.284,3.0839999,0.0,T
1940-03-19 00:00:00+00:00,12.784,4.8840003,0.0,T
1940-03-20 00:00:00+00:00,12.334001,4.034,0.0,T
1940-03-21 00:00:00+00:00,12.834001,5.984,0.0,T
1940-03-22 00:00:00+00:00,15.034,6.334,0.0,T
1940-03-23 00:00:00+00:00,14.084001,9.734,0.0,T
1940-03-24 00:00:00+00:00,14.134,6.484,0.0,T
1940-03-25 00:00:00+00:00,14.834001,10.434,0.0,T
1940-03-26 00:00:00+00:00,19.283998,9.034,0.0,T
1940-03-27 00:00:00+00:00,15.234,8.284,2.2,T
1940-03-28 00:00:00+00:00,10.184,6.2840004,4.9999995,T
1940-03-29 00:00:00+00:00,7.734,5.584,0.1,T
1940-03-30 00:00:00+00:00,10.134,3.984,0.1,T
1940-03-31 00:00:00+00:00,9.784,3.984,0.0,T
1940-04-01 00:00:00+00:00,11.084001,3.684,0.0,T
1940-04-02 00:00:00+00:00,16.684,4.2840004,0.0,T
1940-04-03 00:00:00+00:00,14.834001,8.534,0.9,T
1940-04-04 00:00:00+00:00,14.734,8.084,19.300001,T
1940-04-05 00:00:00+00:00,11.684,7.934,6.3000007,T
1940-04-06 00:00:00+00:00,8.934,6.3840003,3.4,T
1940-04-07 00:00:00+00:00,10.284,4.434,0.0,T
1940-04-08 00:00:00+00:00,10.884,4.8840003,0.0,T
1940-04-09 00:00:00+00:00,11.584001,5.084,1.1000001,T
1940-04-10 00:00:00+00:00,10.684,8.884,0.0,T
1940-04-11 00:00:00+00:00,9.884,6.234,0.3,T
1940-04-12 00:00:00+00:00,12.184,4.1340003,0.0,T
1940-04-13 00:00:00+00:00,12.334001,4.684,0.0,T
1940-04-14 00:00:00+00:00,14.534,4.6340003,0.0,T
1940-04-15 00:00:00+00:00,16.533998,7.934,0.0,T
1940-04-16 00:00:00+00:00,16.484,6.934,0.0,T
1940-04-17 00:00:00+00:00,16.684,9.884,0.0,T
1940-04-18 00:00:00+00:00,16.283998,11.734,0.0,T
1940-04-19 00:00:00+00:00,15.584001,10.584001,0.0,T
1940-04-20 00:00:00+00:00,18.434,10.384,0.1,T
1940-04-21 00:00:00+00:00,20.033998,10.334001,0.0,T
1940-04-22 00:00:00+00:00,21.633999,11.934,0.0,T
1940-04-23 00:00:00+00:00,23.434,11.384,0.0,T
1940-04-24 00:00:00+00:00,20.033998,12.984,0.6,T
1940-04-25 00:00:00+00:00,17.684,12.534,7.799999,T
1940-04-26 00:00:00+00:00,19.283998,11.234,0.5,T
1940-04-27 00:00:00+00:00,17.883999,12.534,5.2,T
1940-04-28 00:00:00+00:00,16.533998,12.584001,2.1999998,T
1940-04-29 00:00:00+00:00,18.283998,11.534,0.0,T
1940-04-30 00:00:00+00:00,17.934,12.434,2.2,T
1940-05-01 00:00:00+00:00,17.934,13.334001,6.7999997,T
1940-05-02 00:00:00+00:00,20.133999,14.084001,0.0,T
1940-05-03 00:00:00+00:00,16.633999,14.184,1.3,T
1940-05-04 00:00:00+00:00,19.184,14.434,10.8,T
1940-05-05 00:00:00+00:00,16.234,12.934,6.7,T
1940-05-06 00:00:00+00:00,17.283998,11.634,0.0,T
1940-05-07 00:00:00+00:00,17.033998,11.584001,0.0,T
1940-05-08 00:00:00+00:00,18.234,11.134,0.0,T
1940-05-09 00:00:00+00:00,19.283998,11.734,0.0,T
1940-05-10 00:00:00+00:00,19.283998,11.784,0.0,T
1940-05-11 00:00:00+00:00,19.584,11.584001,0.0,T
1940-05-12 00:00:00+00:00,17.584,12.484,0.0,T
1940-05-13 00:00:00+00:00,16.633999,11.634,0.0,T
1940-05-14 00:00:00+00:00,19.334,11.384,0.0,T
1940-05-15 00:00:00+00:00,17.883999,13.534,0.1,T
1940-05-16 00:00:00+00:00,17.934,13.234,4.8999996,T
1940-05-17 00:00:00+00:00,16.184,13.534,12.900002,T
1940-05-18 00:00:00+00:00,18.533998,12.884,0.3,T
1940-05-19 00:00:00+00:00,22.133999,11.684,1.9,T
1940-05-20 00:00:00+00:00,21.133999,13.184,0.0,T
1940-05-21 00:00:00+00:00,21.834,13.334001,0.0,T
1940-05-22 00:00:00+00:00,22.033998,14.234,7.6,T
1940-05-23 00:00:00+00:00,20.633999,14.884,0.3,T
1940-05-24 00:00:00+00:00,21.934,16.234,0.0,T
1940-05-25 00:00:00+00:00,24.684,15.884,0.0,T
1940-05-26 00:00:00+00:00,24.383999,17.484,0.0,T
1940-05-27 00:00:00+00:00,24.934,18.033998,0.0,T
1940-05-28 00:00:00+00:00,25.133999,17.033998,0.0,T
1940-05-29 00:00:00+00:00,25.133999,15.534,0.0,T
1940-05-30 00:00:00+00:00,21.934,16.883999,0.1,T
1940-05-31 00:00:00+00:00,21.283998,13.834001,0.2,T
1940-06-01 00:00:00+00:00,17.684,14.684,10.500003,T
1940-06-02 00:00:00+00:00,19.283998,15.034,3.8000002,T
1940-06-03 00:00:00+00:00,18.234,15.334001,3.1999993,T
1940-06-04 00:00:00+00:00,21.334,15.884,0.0,T
1940-06-05 00:00:00+00:00,22.383999,17.684,0.0,T
1940-06-06 00:00:00+00:00,22.684,16.783998,0.0,T
1940-06-07 00:00:00+00:00,23.834,16.533998,0.0,T
1940-06-08 00:00:00+00:00,25.033998,16.734,0.2,T
1940-06-09 00:00:00+00:00,25.734,17.234,0.1,T
1940-06-10 00:00:00+00:00,26.383999,18.434,0.0,T
1940-06-11 00:00:00+00:00,26.984,17.783998,0.0,T
1940-06-12 00:00:00+00:00,25.184,18.533998,0.1,T
1940-06-13 00:00:00+00:00,25.434,18.234,0.0,T
1940-06-14 00:00:00+00:00,24.533998,17.834,0.3,T
1940-06-15 00:00:00+00:00,24.133999,17.834,0.0,T
1940-06-16 00:00:00+00:00,23.434,18.734,8.800001,T
1940-06-17 00:00:00+00:00,23.883999,18.283998,4.8,T
