date,temperature_2m_max,temperature_2m_min,precipitation_sum,is_historical
1939-12-31 00:00:00+00:00,3.882,-1.318,,T
1940-01-01 00:00:00+00:00,4.882,1.1819999,1.3000001,T
1940-01-02 00:00:00+00:00,4.382,-0.56799996,0.0,T
1940-01-03 00:00:00+00:00,8.982,1.882,7.5,T
1940-01-04 00:00:00+00:00,11.982,7.582,10.799999,T
1940-01-05 00:00:00+00:00,9.782001,7.1819997,3.2999995,T
1940-01-06 00:00:00+00:00,10.082001,6.532,0.0,T
1940-01-07 00:00:00+00:00,10.132,4.932,0.0,T
1940-01-08 00:00:00+00:00,9.632,4.182,2.0,T
1940-01-09 00:00:00+00:00,7.232,3.532,29.699999,T
1940-01-10 00:00:00+00:00,6.382,3.532,19.699999,T
1940-01-11 00:00:00+00:00,7.582,4.182,8.0,T
1940-01-12 00:00:00+00:00,7.782,4.782,1.2000002,T
1940-01-13 00:00:00+00:00,8.032001,3.4320002,0.0,T
1940-01-14 00:00:00+00:00,8.982,2.582,5.3,T
1940-01-15 00:00:00+00:00,10.732,6.132,2.2,T
1940-01-16 00:00:00+00:00,12.032001,3.782,0.4,T
1940-01-17 00:00:00+00:00,13.082001,4.582,3.5,T
1940-01-18 00:00:00+00:00,3.282,-1.818,3.6000001,T
1940-01-19 00:00:00+00:00,8.282001,-2.0180001,2.0,T
1940-01-20 00:00:00+00:00,7.1819997,0.88199997,0.70000005,T
1940-01-21 00:00:00+00:00,11.382,0.18200004,0.9,T
1940-01-22 00:00:00+00:00,14.732,9.782001,7.7,T
1940-01-23 00:00:00+00:00,12.532001,9.232,23.300001,T
1940-01-24 00:00:00+00:00,10.332001,7.882,22.9,T
1940-01-25 00:00:00+00:00,9.532001,6.132,1.8000001,T
1940-01-26 00:00:00+00:00,10.732,5.232,0.0,T
1940-01-27 00:00:00+00:00,8.432,3.032,2.6,T
1940-01-28 00:00:00+00:00,6.332,2.432,0.0,T
1940-01-29 00:00:00+00:00,7.282,1.732,0.4,T
1940-01-30 00:00:00+00:00,10.482,4.282,10.900002,T
1940-01-31 00:00:00+00:00,13.132,6.232,0.0,T
1940-02-01 00:00:00+00:00,15.432,9.282001,2.1,T
1940-02-02 00:00:00+00:00,16.132,9.832001,0.1,T
1940-02-03 00:00:00+00:00,15.732,8.282001,0.3,T
1940-02-04 00:00:00+00:00,13.632,7.882,0.0,T
1940-02-05 00:00:00+00:00,14.332001,9.032001,1.2000002,T
1940-02-06 00:00:00+00:00,11.682,7.732,2.3999999,T
1940-02-07 00:00:00+00:00,13.632,6.982,0.0,T
1940-02-08 00:00:00+00:00,14.182,7.082,2.8,T
1940-02-09 00:00:00+00:00,17.982,8.832,2.9,T
1940-02-10 00:00:00+00:00,9.882,2.832,5.5,T
1940-02-11 00:00:00+00:00,14.082001,3.282,1.7000002,T
1940-02-12 00:00:00+00:00,15.532001,8.682,0.5,T
1940-02-13 00:00:00+00:00,8.982,3.082,2.5,T
1940-02-14 00:00:00+00:00,4.032,-0.81799996,0.90000004,T
1940-02-15 00:00:00+00:00,6.4319997,-2.118,1.2,T
1940-02-16 00:00:00+00:00,7.6819997,0.88199997,2.2,T
1940-02-17 00:00:00+00:00,9.332,5.382,2.7,T
1940-02-18 00:00:00+00:00,7.982,3.4819999,0.0,T
1940-02-19 00:00:00+00:00,11.232,1.1819999,0.0,T
1940-02-20 00:00:00+00:00,3.032,0.532,0.9,T
1940-02-21 00:00:00+00:00,9.232,0.932,0.0,T
1940-02-22 00:00:00+00:00,11.382,2.582,0.0,T
1940-02-23 00:00:00+00:00,15.232,0.932,0.0,T
1940-02-24 00:00:00+00:00,15.882,3.2319999,0.0,T
1940-02-25 00:00:00+00:00,16.332,5.232,0.0,T
1940-02-26 00:00:00+00:00,12.582001,5.082,0.4,T
1940-02-27 00:00:00+00:00,12.632,4.532,0.0,T
1940-02-28 00:00:00+00:00,14.232,3.632,0.0,T
1940-02-29 00:00:00+00:00,16.382,3.782,0.0,T
1940-03-01 00:00:00+00:00,9.132,2.882,0.1,T
1940-03-02 00:00:00+00:00,6.332,2.582,0.0,T
1940-03-03 00:00:00+00:00,10.032001,2.132,0.0,T
1940-03-04 00:00:00+00:00,16.082,2.382,0.0,T
1940-03-05 00:00:00+00:00,9.282001,3.2319999,7.1999993,T
1940-03-06 00:00:00+00:00,2.832,0.43200004,7.199997,T
1940-03-07 00:00:00+00:00,3.282,0.232,4.5,T
1940-03-08 00:00:00+00:00,3.632,-0.518,11.100002,T
1940-03-09 00:00:00+00:00,6.232,-1.768,0.0,T
1940-03-10 00:00:00+00:00,9.882,-3.718,0.0,T
1940-03-11 00:00:00+00:00,13.132,-1.6680001,0.0,T
1940-03-12 00:00:00+00:00,18.032,7.032,0.0,T
1940-03-13 00:00:00+00:00,20.832,8.882,0.0,T
1940-03-14 00:00:00+00:00,19.282,9.132,0.1,T
1940-03-15 00:00:00+00:00,9.682,5.532,0.0,T
1940-03-16 00:00:00+00:00,11.182,5.232,0.0,T
1940-03-17 00:00:00+00:00,12.432,5.632,0.0,T
1940-03-18 00:00:00+00:00,15.582001,4.782,0.0,T
1940-03-19 00:00:00+00:00,13.832001,5.6819997,0.0,T
1940-03-20 00:00:00+00:00,15.582001,5.832,0.0,T
1940-03-21 00:00:00+00:00,14.932,5.082,0.0,T
1940-03-22 00:00:00+00:00,18.432001,4.932,0.0,T
1940-03-23 00:00:00+00:00,17.032,8.882,0.6,T
1940-03-24 00:00:00+00:00,19.032,8.082,0.0,T
1940-03-25 00:00:00+00:00,20.432001,12.932,0.3,T
1940-03-26 00:00:00+00:00,23.982,12.782001,0.0,T
1940-03-27 00:00:00+00:00,21.832,11.432,0.3,T
1940-03-28 00:00:00+00:00,17.032,9.932,0.3,T
1940-03-29 00:00:00+00:00,9.332,6.032,1.9,T
1940-03-30 00:00:00+00:00,9.782001,5.382,0.0,T
1940-03-31 00:00:00+00:00,11.032001,5.782,0.8000001,T
1940-04-01 00:00:00+00:00,12.732,5.082,1.8000001,T
1940-04-02 00:00:00+00:00,17.182,5.332,0.0,T
1940-04-03 00:00:00+00:00,16.682,6.782,1.7,T
1940-04-04 00:00:00+00:00,18.082,8.032001,8.3,T
1940-04-05 00:00:00+00:00,15.532001,10.632,15.099999,T
1940-04-06 00:00:00+00:00,14.532001,8.232,27.3,T
1940-04-07 00:00:00+00:00,12.132,6.882,0.2,T
1940-04-08 00:00:00+00:00,14.582001,6.032,4.8,T
1940-04-09 00:00:00+00:00,14.982,8.082,12.6,T
1940-04-10 00:00:00+00:00,11.932,9.482,35.100002,T
1940-04-11 00:00:00+00:00,11.632,7.382,5.7999983,T
1940-04-12 00:00:00+00:00,13.382,6.232,0.4,T
1940-04-13 00:00:00+00:00,13.582001,5.882,0.0,T
1940-04-14 00:00:00+00:00,14.132,6.4319997,0.0,T
1940-04-15 00:00:00+00:00,18.482,4.632,0.0,T
1940-04-16 00:00:00+00:00,19.432001,10.132,0.0,T
1940-04-17 00:00:00+00:00,19.932001,11.682,0.0,T
1940-04-18 00:00:00+00:00,20.482,12.332001,0.0,T
1940-04-19 00:00:00+00:00,19.632,10.882,3.2,T
1940-04-20 00:00:00+00:00,20.732,11.082001,0.8000001,T
1940-04-21 00:00:00+00:00,23.282,12.432,0.0,T
1940-04-22 00:00:00+00:00,23.682001,14.432,0.0,T
1940-04-23 00:00:00+00:00,27.032,13.532001,0.0,T
1940-04-24 00:00:00+00:00,25.732,13.532001,0.0,T
1940-04-25 00:00:00+00:00,22.382,14.832001,1.7,T
1940-04-26 00:00:00+00:00,21.432001,13.132,6.1000004,T
1940-04-27 00:00:00+00:00,20.482,12.382,1.1,T
1940-04-28 00:00:00+00:00,18.732,12.982,4.1,T
1940-04-29 00:00:00+00:00,20.632,12.282001,1.0,T
1940-04-30 00:00:00+00:00,22.182001,13.682,0.2,T
1940-05-01 00:00:00+00:00,19.932001,14.282001,1.3,T
1940-05-02 00:00:00+00:00,22.932001,15.232,0.1,T
1940-05-03 00:00:00+00:00,21.632,15.582001,1.5,T
1940-05-04 00:00:00+00:00,18.532,14.382,29.600002,T
1940-05-05 00:00:00+00:00,19.932001,14.132,1.1,T
1940-05-06 00:00:00+00:00,18.232,13.532001,0.0,T
1940-05-07 00:00:00+00:00,17.232,12.332001,0.0,T
1940-05-08 00:00:00+00:00,19.432001,12.282001,0.0,T
1940-05-09 00:00:00+00:00,20.832,11.632,0.0,T
1940-05-10 00:00:00+00:00,20.982,11.232,0.0,T
1940-05-11 00:00:00+00:00,20.882,12.432,0.0,T
1940-05-12 00:00:00+00:00,19.232,14.082001,0.0,T
1940-05-13 00:00:00+00:00,17.632,11.132,0.0,T
1940-05-14 00:00:00+00:00,21.732,10.882,0.0,T
1940-05-15 00:00:00+00:00,17.332,13.332001,6.4,T
1940-05-16 00:00:00+00:00,19.232,12.382,10.0,T
1940-05-17 00:00:00+00:00,21.082,12.882,7.0,T
1940-05-18 00:00:00+00:00,18.782,12.432,4.1,T
1940-05-19 00:00:00+00:00,22.282,12.132,0.0,T
1940-05-20 00:00:00+00:00,23.432001,13.082001,0.1,T
1940-05-21 00:00:00+00:00,24.082,13.282001,0.0,T
1940-05-22 00:00:00+00:00,25.982,14.082001,3.3,T
1940-05-23 00:00:00+00:00,20.932001,15.282001,0.9000001,T
1940-05-24 00:00:00+00:00,22.882,15.482,0.0,T
1940-05-25 00:00:00+00:00,24.782,16.082,0.0,T
1940-05-26 00:00:00+00:00,28.282,15.182,0.0,T
1940-05-27 00:00:00+00:00,28.382,18.282,0.0,T
1940-05-28 00:00:00+00:00,29.082,18.232,0.0,T
1940-05-29 00:00:00+00:00,30.582,19.282,0.0,T
1940-05-30 00:00:00+00:00,25.932001,17.632,1.7,T
1940-05-31 00:00:00+00:00,22.382,15.832001,0.1,T
1940-06-01 00:00:00+00:00,21.732,16.232,1.1,T
1940-06-02 00:00:00+00:00,20.282,14.632,0.3,T
1940-06-03 00:00:00+00:00,21.482,14.282001,5.0,T
1940-06-04 00:00:00+00:00,19.182001,14.832001,8.0,T
1940-06-05 00:00:00+00:00,22.832,16.532,0.4,T
1940-06-06 00:00:00+00:00,23.232,17.432,0.1,T
1940-06-07 00:00:00+00:00,23.932001,16.482,0.3,T
1940-06-08 00:00:00+00:00,25.732,16.232,0.8,T
1940-06-09 00:00:00+00:00,26.782,16.882,0.0,T
1940-06-10 00:00:00+00:00,27.582,18.832,0.0,T
1940-06-11 00:00:00+00:00,28.582,19.432001,0.0,T
1940-06-12 00:00:00+00:00,27.982,18.132,0.2,T
1940-06-13 00:00:00+00:00,27.882,19.782,0.3,T
1940-06-14 00:00:00+00:00,27.282,18.532,0.6,T
1940-06-15 00:00:00+00:00,29.532,17.982,0.3,T
1940-06-16 00:00:00+00:00,27.632,20.082,1.7,T
1940-06-17 00:00:00+00:00,26.932001,19.182001,5.6,T
1940-06-18 00:00:00+00:00,27.332,19.532,4.7,T
1940-06-19 00:00:00+00:00,27.532,19.782,0.1,T
1940-06-20 00:00:00+00:00,27.732,18.432001,0.0,T
1940-06-21 00:00:00+00:00,30.082,19.432001,1.0,T
1940-06-22 00:00:00+00:00,32.682,21.082,0.0,T
1940-06-23 00:00:00+00:00,32.482,21.682001,0.0,T
1940-06-24 00:00:00+00:00,33.632,19.932001,0.0,T
1940-06-25 00:00:00+00:00,27.632,19.982,0.6,T
1940-06-26 00:00:00+00:00,25.132,19.182001,0.3,T
1940-06-27 00:00:00+00:00,24.032,18.982,0.0,T
1940-06-28 00:00:00+00:00,23.132,16.932,0.90000004,T
1940-06-29 00:00:00+00:00,25.032,17.132,0.70000005,T
1940-06-30 00:00:00+00:00,24.932001,18.682001,3.6999996,T
1940-07-01 00:00:00+00:00,27.032,20.232,0.70000005,T
1940-07-02 00:00:00+00:00,28.382,20.432001,0.0,T
1940-07-03 00:00:00+00:00,31.532,20.282,0.0,T
1940-07-04 00:00:00+00:00,30.632,22.082,0.0,T
1940-07-05 00:00:00+00:00,29.332,21.132,0.0,T
1940-07-06 00:00:00+00:00,33.682,18.832,0.0,T
1940-07-07 00:00:00+00:00,34.482,21.282,0.1,T
1940-07-08 00:00:00+00:00,27.382,20.182001,2.0000002,T
1940-07-09 00:00:00+00:00,25.932001,19.932001,1.3000001,T
1940-07-10 00:00:00+00:00,28.682001,19.832,0.0,T
1940-07-11 00:00:00+00:00,33.182,19.532,0.0,T
1940-07-12 00:00:00+00:00,32.882,20.832,0.0,T
1940-07-13 00:00:00+00:00,28.432001,17.932001,0.0,T
1940-07-14 00:00:00+00:00,33.082,17.782,0.0,T
1940-07-15 00:00:00+00:00,39.982,21.332,0.0,T
1940-07-16 00:00:00+00:00,30.982,22.532,0.0,T
1940-07-17 00:00:00+00:00,31.582,20.732,0.0,T
1940-07-18 00:00:00+00:00,31.532,20.532,0.0,T
1940-07-19 00:00:00+00:00,31.632,20.832,0.0,T
1940-07-20 00:00:00+00:00,33.382,21.932001,0.0,T
1940-07-21 00:00:00+00:00,33.982,22.832,0.0,T
1940-07-22 00:00:00+00:00,32.332,22.232,1.1,T
1940-07-23 00:00:00+00:00,32.382,21.532,1.2,T
1940-07-24 00:00:00+00:00,31.132,22.232,0.0,T
1940-07-25 00:00:00+00:00,35.081997,20.282,0.0,T
1940-07-26 00:00:00+00:00,36.781998,23.682001,0.0,T
1940-07-27 00:00:00+00:00,34.581997,24.382,0.0,T
1940-07-28 00:00:00+00:00,28.682001,22.932001,0.0,T
1940-07-29 00:00:00+00:00,27.482,21.082,0.0,T
1940-07-30 00:00:00+00:00,25.982,20.332,0.0,T
1940-07-31 00:00:00+00:00,26.332,18.732,0.0,T
1940-08-01 00:00:00+00:00,30.782,19.032,0.0,T
1940-08-02 00:00:00+00:00,27.382,21.432001,0.0,T
1940-08-03 00:00:00+00:00,27.332,20.282,0.0,T
1940-08-04 00:00:00+00:00,27.482,20.582,0.6,T
1940-08-05 00:00:00+00:00,30.782,20.282,0.5,T
1940-08-06 00:00:00+00:00,33.982,21.082,0.1,T
1940-08-07 00:00:00+00:00,33.581997,22.632,0.1,T
1940-08-08 00:00:00+00:00,33.182,23.382,0.0,T
1940-08-09 00:00:00+00:00,34.331997,23.632,0.0,T
1940-08-10 00:00:00+00:00,35.882,23.382,0.0,T
1940-08-11 00:00:00+00:00,33.482,23.982,4.3,T
1940-08-12 00:00:00+00:00,29.682001,23.082,1.5,T
1940-08-13 00:00:00+00:00,27.232,21.932001,3.6000001,T
1940-08-14 00:00:00+00:00,25.682001,20.482,0.0,T
