date,temperature_2m_max,temperature_2m_min,precipitation_sum,is_historical
1939-12-31 00:00:00+00:00,5.8409996,-3.2089999,,T
1940-01-01 00:00:00+00:00,4.091,-3.0589998,0.0,T
1940-01-02 00:00:00+00:00,4.0410004,-5.059,0.0,T
1940-01-03 00:00:00+00:00,3.691,1.791,19.2,T
1940-01-04 00:00:00+00:00,7.2910004,2.341,0.0,T
1940-01-05 00:00:00+00:00,8.341,0.291,0.0,T
1940-01-06 00:00:00+00:00,9.641,-1.0090001,0.0,T
1940-01-07 00:00:00+00:00,8.341,-1.4089999,0.0,T
1940-01-08 00:00:00+00:00,6.241,-0.9589999,0.0,T
1940-01-09 00:00:00+00:00,1.191,-2.6590002,3.6000004,T
1940-01-10 00:00:00+00:00,-2.559,-4.4090004,5.499999,T
1940-01-11 00:00:00+00:00,-1.4589999,-4.259,1.5000002,T
1940-01-12 00:00:00+00:00,2.591,-6.559,0.0,T
1940-01-13 00:00:00+00:00,7.391,-7.9090004,0.0,T
1940-01-14 00:00:00+00:00,7.691,-7.609,0.0,T
1940-01-15 00:00:00+00:00,6.741,-1.609,0.0,T
1940-01-16 00:00:00+00:00,5.441,0.94100004,3.5,T
1940-01-17 00:00:00+00:00,1.191,-3.109,15.8,T
1940-01-18 00:00:00+00:00,-2.7089999,-15.009,0.8000001,T
1940-01-19 00:00:00+00:00,-1.2089999,-14.658999,0.0,T
1940-01-20 00:00:00+00:00,-3.5589998,-13.059,0.4,T
1940-01-21 00:00:00+00:00,-0.559,-8.359,2.7000003,T
1940-01-22 00:00:00+00:00,-1.7590001,-4.1590004,8.9,T
1940-01-23 00:00:00+00:00,0.89100003,-1.559,6.7999983,T
1940-01-24 00:00:00+00:00,3.2410002,-0.059000015,0.0,T
1940-01-25 00:00:00+00:00,4.741,-1.359,0.0,T
1940-01-26 00:00:00+00:00,6.3409996,-4.759,0.0,T
1940-01-27 00:00:00+00:00,6.741,-7.009,0.0,T
1940-01-28 00:00:00+00:00,5.491,-6.809,0.0,T
1940-01-29 00:00:00+00:00,3.891,-3.7089999,0.0,T
1940-01-30 00:00:00+00:00,3.691,-1.7590001,0.8000001,T
1940-01-31 00:00:00+00:00,4.591,-2.7089999,17.0,T
1940-02-01 00:00:00+00:00,10.641,4.141,0.2,T
1940-02-02 00:00:00+00:00,9.591,1.291,1.0,T
1940-02-03 00:00:00+00:00,10.641,1.3410001,0.0,T
1940-02-04 00:00:00+00:00,9.091,4.141,0.0,T
1940-02-05 00:00:00+00:00,9.191,4.091,0.8,T
1940-02-06 00:00:00+00:00,9.141,4.991,0.9000001,T
1940-02-07 00:00:00+00:00,9.790999,7.991,4.3999996,T
1940-02-08 00:00:00+00:00,11.040999,7.241,4.799999,T
1940-02-09 00:00:00+00:00,9.941,6.941,4.2,T
1940-02-10 00:00:00+00:00,7.7910004,1.5910001,0.0,T
1940-02-11 00:00:00+00:00,8.491,2.641,7.2,T
1940-02-12 00:00:00+00:00,7.8409996,-5.109,11.600003,T
1940-02-13 00:00:00+00:00,-5.059,-10.959001,0.0,T
1940-02-14 00:00:00+00:00,-0.809,-13.659,0.0,T
1940-02-15 00:00:00+00:00,3.041,-3.009,0.6,T
1940-02-16 00:00:00+00:00,3.7910001,-3.509,1.8000002,T
1940-02-17 00:00:00+00:00,6.0410004,-2.8089998,0.3,T
1940-02-18 00:00:00+00:00,9.141,-4.2089996,0.0,T
1940-02-19 00:00:00+00:00,12.491,0.591,0.0,T
1940-02-20 00:00:00+00:00,5.191,-2.7089999,0.0,T
1940-02-21 00:00:00+00:00,10.141,-4.009,0.0,T
1940-02-22 00:00:00+00:00,13.991,-0.008999944,0.0,T
1940-02-23 00:00:00+00:00,11.841,1.041,0.0,T
1940-02-24 00:00:00+00:00,13.091,2.291,0.0,T
1940-02-25 00:00:00+00:00,14.191,1.291,0.0,T
1940-02-26 00:00:00+00:00,15.290999,1.441,0.0,T
1940-02-27 00:00:00+00:00,13.691,3.141,0.0,T
1940-02-28 00:00:00+00:00,15.040999,2.9910002,0.0,T
1940-02-29 00:00:00+00:00,13.040999,4.341,0.0,T
1940-03-01 00:00:00+00:00,8.341,-0.9089999,0.0,T
1940-03-02 00:00:00+00:00,8.941,-2.759,0.0,T
1940-03-03 00:00:00+00:00,11.241,-1.109,0.0,T
1940-03-04 00:00:00+00:00,11.091,0.841,0.5,T
1940-03-05 00:00:00+00:00,7.5909996,-0.10899997,0.4,T
1940-03-06 00:00:00+00:00,6.5909996,-1.359,0.0,T
1940-03-07 00:00:00+00:00,6.941,-2.2089999,0.0,T
1940-03-08 00:00:00+00:00,8.741,-1.809,0.0,T
1940-03-09 00:00:00+00:00,8.741,-0.809,0.0,T
1940-03-10 00:00:00+00:00,10.391,3.641,0.0,T
1940-03-11 00:00:00+00:00,11.741,2.591,1.9,T
1940-03-12 00:00:00+00:00,15.441,8.091,4.299999,T
1940-03-13 00:00:00+00:00,15.941,11.040999,3.3999996,T
1940-03-14 00:00:00+00:00,16.641,4.991,0.0,T
1940-03-15 00:00:00+00:00,12.891,1.941,0.0,T
1940-03-16 00:00:00+00:00,14.191,-0.30900002,0.0,T
1940-03-17 00:00:00+00:00,16.041,2.691,0.0,T
1940-03-18 00:00:00+00:00,15.241,4.391,0.0,T
1940-03-19 00:00:00+00:00,16.091,6.2910004,0.0,T
1940-03-20 00:00:00+00:00,16.191,5.7910004,0.0,T
1940-03-21 00:00:00+00:00,13.491,7.5909996,0.0,T
1940-03-22 00:00:00+00:00,12.591,6.391,0.3,T
1940-03-23 00:00:00+00:00,14.691,9.141,0.2,T
1940-03-24 00:00:00+00:00,19.941,6.5410004,0.0,T
1940-03-25 00:00:00+00:00,21.941,11.941,0.4,T
1940-03-26 00:00:00+00:00,17.691,9.691,6.0,T
1940-03-27 00:00:00+00:00,14.891,8.091,11.700001,T
1940-03-28 00:00:00+00:00,8.441,4.741,0.9000001,T
1940-03-29 00:00:00+00:00,10.491,-0.15899992,0.0,T
1940-03-30 00:00:00+00:00,13.341,0.34100008,0.0,T
1940-03-31 00:00:00+00:00,13.091,0.24100006,0.0,T
1940-04-01 00:00:00+00:00,16.141,0.74100006,0.0,T
1940-04-02 00:00:00+00:00,13.991,2.391,0.0,T
1940-04-03 00:00:00+00:00,16.891,9.191,1.4000002,T
1940-04-04 00:00:00+00:00,16.641,8.041,0.8,T
1940-04-05 00:00:00+00:00,14.341,7.441,0.4,T
1940-04-06 00:00:00+00:00,11.841,6.141,3.3,T
1940-04-07 00:00:00+00:00,13.741,4.491,0.1,T
1940-04-08 00:00:00+00:00,13.691,3.141,0.4,T
1940-04-09 00:00:00+00:00,13.790999,2.7410002,0.2,T
1940-04-10 00:00:00+00:00,12.591,6.5410004,0.0,T
1940-04-11 00:00:00+00:00,12.891,2.941,0.0,T
1940-04-12 00:00:00+00:00,14.491,2.641,0.0,T
1940-04-13 00:00:00+00:00,13.891,3.341,0.9000001,T
1940-04-14 00:00:00+00:00,16.191,4.891,0.0,T
1940-04-15 00:00:00+00:00,16.991001,5.141,1.0,T
1940-04-16 00:00:00+00:00,20.841002,7.891,0.0,T
1940-04-17 00:00:00+00:00,21.441,10.241,0.0,T
1940-04-18 00:00:00+00:00,20.841002,8.341,0.5,T
1940-04-19 00:00:00+00:00,21.641,11.191,0.0,T
1940-04-20 00:00:00+00:00,22.791,10.491,0.0,T
1940-04-21 00:00:00+00:00,24.791,10.891,0.1,T
1940-04-22 00:00:00+00:00,25.341002,12.491,0.0,T
1940-04-23 00:00:00+00:00,24.291,12.641,0.0,T
1940-04-24 00:00:00+00:00,19.291,11.691,0.90000004,T
1940-04-25 00:00:00+00:00,20.941,9.941,0.0,T
1940-04-26 00:00:00+00:00,20.491001,8.691,0.0,T
1940-04-27 00:00:00+00:00,19.591002,11.091,0.8,T
1940-04-28 00:00:00+00:00,21.491001,11.540999,1.3000001,T
1940-04-29 00:00:00+00:00,22.041,11.491,0.1,T
1940-04-30 00:00:00+00:00,19.891,11.441,1.3000001,T
1940-05-01 00:00:00+00:00,22.041,12.790999,4.9,T
1940-05-02 00:00:00+00:00,24.891,13.141,3.3999999,T
1940-05-03 00:00:00+00:00,20.291,9.891,2.2,T
1940-05-04 00:00:00+00:00,24.491001,9.841,1.3000001,T
1940-05-05 00:00:00+00:00,18.991001,11.691,1.9000002,T
1940-05-06 00:00:00+00:00,21.241001,10.141,0.0,T
