date,temperature_2m_max,temperature_2m_min,precipitation_sum,is_historical
1939-12-31 00:00:00+00:00,1.2789999,-8.4210005,,T
1940-01-01 00:00:00+00:00,-1.2710001,-6.6710005,0.8000001,T
1940-01-02 00:00:00+00:00,2.379,-12.821,0.0,T
1940-01-03 00:00:00+00:00,3.479,-3.121,21.6,T
1940-01-04 00:00:00+00:00,3.979,2.379,13.500002,T
1940-01-05 00:00:00+00:00,3.479,-4.1710005,0.0,T
1940-01-06 00:00:00+00:00,4.5290003,-11.1710005,0.0,T
1940-01-07 00:00:00+00:00,4.279,-8.021,0.0,T
1940-01-08 00:00:00+00:00,1.979,-7.3710003,0.8,T
1940-01-09 00:00:00+00:00,-1.171,-3.221,22.599998,T
1940-01-10 00:00:00+00:00,-1.6710002,-3.1710002,36.000004,T
1940-01-11 00:00:00+00:00,-1.421,-3.8209999,3.3999999,T
1940-01-12 00:00:00+00:00,0.22899985,-4.2209997,0.1,T
1940-01-13 00:00:00+00:00,4.1289997,-10.4210005,0.0,T
1940-01-14 00:00:00+00:00,2.029,-4.9709997,1.2,T
1940-01-15 00:00:00+00:00,3.429,-2.5709999,6.6000004,T
1940-01-16 00:00:00+00:00,2.279,-1.0710001,3.9,T
1940-01-17 00:00:00+00:00,0.729,-4.1210003,16.7,T
1940-01-18 00:00:00+00:00,-5.7210007,-13.071,2.9999998,T
1940-01-19 00:00:00+00:00,-4.821,-14.271,7.0,T
1940-01-20 00:00:00+00:00,-3.4210002,-7.321,4.0999994,T
1940-01-21 00:00:00+00:00,0.7789999,-5.9210005,10.9,T
1940-01-22 00:00:00+00:00,-0.52100015,-2.221,39.199997,T
1940-01-23 00:00:00+00:00,3.679,-2.6710002,16.2,T
1940-01-24 00:00:00+00:00,1.379,-1.171,10.800001,T
1940-01-25 00:00:00+00:00,3.0289998,-2.5709999,0.0,T
1940-01-26 00:00:00+00:00,5.329,-1.3210001,0.0,T
1940-01-27 00:00:00+00:00,2.379,-2.7710001,0.6,T
1940-01-28 00:00:00+00:00,1.7789999,-3.7710001,0.0,T
1940-01-29 00:00:00+00:00,1.1789999,-5.2209997,0.0,T
1940-01-30 00:00:00+00:00,3.979,-2.621,1.6000001,T
1940-01-31 00:00:00+00:00,3.579,-3.221,4.8000007,T
1940-02-01 00:00:00+00:00,5.3789997,3.7789998,6.1,T
1940-02-02 00:00:00+00:00,5.979,2.779,0.0,T
1940-02-03 00:00:00+00:00,8.629,2.679,0.0,T
1940-02-04 00:00:00+00:00,5.179,3.179,1.3000001,T
1940-02-05 00:00:00+00:00,6.1289997,1.9289999,0.5,T
1940-02-06 00:00:00+00:00,7.0789995,2.2289999,1.7000002,T
1940-02-07 00:00:00+00:00,6.3789997,0.9289999,0.0,T
1940-02-08 00:00:00+00:00,5.5290003,3.5289998,4.5,T
1940-02-09 00:00:00+00:00,5.929,3.379,4.4,T
1940-02-10 00:00:00+00:00,3.079,-1.9210002,2.2,T
1940-02-11 00:00:00+00:00,4.729,1.729,8.5,T
1940-02-12 00:00:00+00:00,4.479,-1.8209999,27.7,T
1940-02-13 00:00:00+00:00,-1.5210001,-7.9210005,10.799999,T
1940-02-14 00:00:00+00:00,-5.7210007,-11.371,0.6,T
1940-02-15 00:00:00+00:00,-1.971,-16.621,0.2,T
1940-02-16 00:00:00+00:00,-0.77100015,-8.821,1.8000001,T
1940-02-17 00:00:00+00:00,0.329,-5.6210003,6.3,T
1940-02-18 00:00:00+00:00,4.029,-8.021,0.0,T
1940-02-19 00:00:00+00:00,5.479,-3.221,0.3,T
1940-02-20 00:00:00+00:00,-2.371,-8.621,0.5,T
1940-02-21 00:00:00+00:00,2.129,-9.821,0.0,T
1940-02-22 00:00:00+00:00,9.8289995,-4.1210003,0.0,T
1940-02-23 00:00:00+00:00,7.5290003,-0.62100005,0.0,T
1940-02-24 00:00:00+00:00,12.129,1.229,0.0,T
1940-02-25 00:00:00+00:00,11.278999,2.829,0.0,T
1940-02-26 00:00:00+00:00,9.0789995,1.9289999,0.0,T
1940-02-27 00:00:00+00:00,10.479,0.5289999,0.0,T
1940-02-28 00:00:00+00:00,11.429,1.5289999,0.0,T
1940-02-29 00:00:00+00:00,9.379,1.479,0.0,T
1940-03-01 00:00:00+00:00,2.979,-5.571,1.1,T
1940-03-02 00:00:00+00:00,3.679,-7.321,0.0,T
1940-03-03 00:00:00+00:00,6.179,-3.971,0.0,T
1940-03-04 00:00:00+00:00,5.1289997,-2.871,0.0,T
1940-03-05 00:00:00+00:00,2.529,-3.3209999,11.799999,T
