date,temperature_2m_max,temperature_2m_min,precipitation_sum,is_historical
1939-12-31 00:00:00+00:00,0.724,-2.426,,T
1940-01-01 00:00:00+00:00,0.974,-1.876,0.0,T
1940-01-02 00:00:00+00:00,-0.326,-3.126,0.0,T
1940-01-03 00:00:00+00:00,5.124,-1.776,1.8000002,T
1940-01-04 00:00:00+00:00,7.124,4.174,0.0,T
1940-01-05 00:00:00+00:00,6.324,2.474,0.0,T
1940-01-06 00:00:00+00:00,6.074,0.974,0.0,T
1940-01-07 00:00:00+00:00,5.824,1.424,0.0,T
1940-01-08 00:00:00+00:00,4.024,1.124,0.0,T
1940-01-09 00:00:00+00:00,1.574,-1.126,0.0,T
1940-01-10 00:00:00+00:00,-0.22600001,-2.976,0.0,T
1940-01-11 00:00:00+00:00,-0.326,-2.876,0.1,T
1940-01-12 00:00:00+00:00,0.92399997,-2.376,0.0,T
1940-01-13 00:00:00+00:00,4.824,-2.076,0.0,T
1940-01-14 00:00:00+00:00,4.174,0.074,0.0,T
1940-01-15 00:00:00+00:00,3.574,-0.326,0.0,T
1940-01-16 00:00:00+00:00,2.424,0.224,4.5,T
1940-01-17 00:00:00+00:00,1.424,-1.276,3.8999996,T
1940-01-18 00:00:00+00:00,-2.226,-4.876,1.2000002,T
1940-01-19 00:00:00+00:00,-4.476,-6.776,0.5,T
1940-01-20 00:00:00+00:00,-3.826,-6.426,0.0,T
1940-01-21 00:00:00+00:00,-1.576,-5.326,0.0,T
1940-01-22 00:00:00+00:00,0.87399995,-2.126,1.9000002,T
1940-01-23 00:00:00+00:00,2.174,-0.22600001,7.7,T
1940-01-24 00:00:00+00:00,5.074,-0.276,0.0,T
1940-01-25 00:00:00+00:00,7.724,0.024,0.0,T
1940-01-26 00:00:00+00:00,3.824,0.374,0.0,T
1940-01-27 00:00:00+00:00,4.774,-2.126,0.0,T
1940-01-28 00:00:00+00:00,2.674,1.124,0.0,T
1940-01-29 00:00:00+00:00,1.224,-0.026,0.1,T
1940-01-30 00:00:00+00:00,1.324,-0.726,0.8,T
1940-01-31 00:00:00+00:00,2.574,-0.57600003,9.3,T
1940-02-01 00:00:00+00:00,3.424,-1.076,0.3,T
1940-02-02 00:00:00+00:00,3.474,-0.526,0.4,T
1940-02-03 00:00:00+00:00,5.374,1.374,0.0,T
1940-02-04 00:00:00+00:00,6.174,1.974,0.0,T
1940-02-05 00:00:00+00:00,4.574,1.124,0.5,T
1940-02-06 00:00:00+00:00,4.274,-0.376,0.0,T
1940-02-07 00:00:00+00:00,5.674,0.67399997,0.2,T
1940-02-08 00:00:00+00:00,7.924,2.424,0.0,T
1940-02-09 00:00:00+00:00,7.974,3.124,0.3,T
1940-02-10 00:00:00+00:00,3.974,1.474,0.8,T
1940-02-11 00:00:00+00:00,3.224,1.474,0.2,T
1940-02-12 00:00:00+00:00,0.62399995,-4.076,1.6000001,T
1940-02-13 00:00:00+00:00,-5.926,-8.726,0.0,T
1940-02-14 00:00:00+00:00,-4.526,-9.726,0.0,T
1940-02-15 00:00:00+00:00,-2.776,-7.576,0.0,T
1940-02-16 00:00:00+00:00,0.974,-4.476,0.4,T
1940-02-17 00:00:00+00:00,3.524,-1.176,0.5,T
1940-02-18 00:00:00+00:00,4.674,0.224,0.0,T
1940-02-19 00:00:00+00:00,6.624,0.87399995,0.0,T
1940-02-20 00:00:00+00:00,2.324,-0.076000005,0.0,T
1940-02-21 00:00:00+00:00,5.324,-0.726,0.0,T
1940-02-22 00:00:00+00:00,8.524,2.174,0.0,T
1940-02-23 00:00:00+00:00,7.174,1.7739999,0.0,T
1940-02-24 00:00:00+00:00,8.524,2.324,0.0,T
1940-02-25 00:00:00+00:00,8.174,1.974,0.0,T
1940-02-26 00:00:00+00:00,7.674,2.374,0.0,T
1940-02-27 00:00:00+00:00,5.774,3.124,0.0,T
1940-02-28 00:00:00+00:00,7.274,3.274,0.0,T
1940-02-29 00:00:00+00:00,5.774,2.824,0.0,T
1940-03-01 00:00:00+00:00,5.574,0.024,0.0,T
1940-03-02 00:00:00+00:00,3.424,0.024,0.0,T
1940-03-03 00:00:00+00:00,6.524,0.67399997,0.0,T
1940-03-04 00:00:00+00:00,6.624,2.774,0.4,T
1940-03-05 00:00:00+00:00,7.274,2.174,0.0,T
1940-03-06 00:00:00+00:00,3.924,1.7739999,0.2,T
1940-03-07 00:00:00+00:00,6.074,0.374,0.0,T
1940-03-08 00:00:00+00:00,5.924,0.67399997,0.0,T
1940-03-09 00:00:00+00:00,7.624,0.27400002,0.0,T
1940-03-10 00:00:00+00:00,7.624,3.024,0.0,T
1940-03-11 00:00:00+00:00,9.074,4.774,1.6999999,T
1940-03-12 00:00:00+00:00,8.924,6.924,6.5,T
1940-03-13 00:00:00+00:00,9.474,7.474,6.2000003,T
1940-03-14 00:00:00+00:00,12.024,5.124,2.4,T
1940-03-15 00:00:00+00:00,7.874,3.774,0.0,T
1940-03-16 00:00:00+00:00,9.724,2.974,0.0,T
1940-03-17 00:00:00+00:00,8.324,3.574,0.0,T
1940-03-18 00:00:00+00:00,8.374,4.924,0.0,T
1940-03-19 00:00:00+00:00,10.824,3.074,0.0,T
1940-03-20 00:00:00+00:00,10.874,4.574,0.0,T
1940-03-21 00:00:00+00:00,9.824,5.724,0.0,T
1940-03-22 00:00:00+00:00,10.074,7.824,0.4,T
1940-03-23 00:00:00+00:00,11.274,7.674,0.0,T
1940-03-24 00:00:00+00:00,11.074,8.174,0.2,T
1940-03-25 00:00:00+00:00,11.324,9.924,7.2000003,T
1940-03-26 00:00:00+00:00,13.974,8.824,7.2999997,T
1940-03-27 00:00:00+00:00,10.424,5.974,13.799998,T
1940-03-28 00:00:00+00:00,9.474,5.174,1.7,T
1940-03-29 00:00:00+00:00,7.824,3.024,0.0,T
1940-03-30 00:00:00+00:00,10.024,4.024,0.0,T
1940-03-31 00:00:00+00:00,11.074,5.124,0.0,T
1940-04-01 00:00:00+00:00,11.624,6.074,0.0,T
1940-04-02 00:00:00+00:00,11.874,6.174,0.2,T
1940-04-03 00:00:00+00:00,12.774,8.774,0.1,T
1940-04-04 00:00:00+00:00,12.574,9.374,5.2,T
1940-04-05 00:00:00+00:00,14.874,6.074,0.0,T
1940-04-06 00:00:00+00:00,12.524,8.224,1.3000001,T
1940-04-07 00:00:00+00:00,10.474,7.174,0.0,T
1940-04-08 00:00:00+00:00,11.474,7.474,1.1000001,T
1940-04-09 00:00:00+00:00,12.174,5.674,0.0,T
1940-04-10 00:00:00+00:00,13.274,7.174,0.1,T
1940-04-11 00:00:00+00:00,11.474,4.874,0.0,T
1940-04-12 00:00:00+00:00,11.674,6.574,0.0,T
1940-04-13 00:00:00+00:00,11.224,6.724,0.0,T
1940-04-14 00:00:00+00:00,13.724,7.574,0.0,T
1940-04-15 00:00:00+00:00,15.224,9.024,0.0,T
1940-04-16 00:00:00+00:00,14.974,9.924,0.2,T
1940-04-17 00:00:00+00:00,14.474,11.174,0.8000001,T
1940-04-18 00:00:00+00:00,15.974,11.474,0.2,T
1940-04-19 00:00:00+00:00,17.324001,10.624,0.2,T
1940-04-20 00:00:00+00:00,20.224,10.624,0.0,T
1940-04-21 00:00:00+00:00,18.924002,12.424,0.0,T
1940-04-22 00:00:00+00:00,19.874,11.524,0.0,T
1940-04-23 00:00:00+00:00,18.574001,12.074,0.0,T
1940-04-24 00:00:00+00:00,18.674002,12.724,0.3,T
1940-04-25 00:00:00+00:00,16.424002,12.924,3.9999998,T
1940-04-26 00:00:00+00:00,13.874,12.024,13.000002,T
1940-04-27 00:00:00+00:00,15.674,12.174,0.4,T
1940-04-28 00:00:00+00:00,16.524,12.324,0.4,T
1940-04-29 00:00:00+00:00,17.024,13.074,0.0,T
1940-04-30 00:00:00+00:00,15.974,13.074,6.0,T
1940-05-01 00:00:00+00:00,15.924,13.024,7.2000003,T
1940-05-02 00:00:00+00:00,16.774,13.724,22.400002,T
1940-05-03 00:00:00+00:00,19.174002,12.574,0.0,T
1940-05-04 00:00:00+00:00,19.624,14.124,5.6,T
1940-05-05 00:00:00+00:00,16.224,13.324,3.1,T
1940-05-06 00:00:00+00:00,17.124,12.974,0.0,T
1940-05-07 00:00:00+00:00,17.574001,10.874,0.0,T
1940-05-08 00:00:00+00:00,18.824001,11.024,0.0,T
1940-05-09 00:00:00+00:00,18.724,12.624,0.0,T
1940-05-10 00:00:00+00:00,19.124,13.324,0.0,T
1940-05-11 00:00:00+00:00,18.724,11.974,0.0,T
1940-05-12 00:00:00+00:00,16.874,14.174,0.2,T
1940-05-13 00:00:00+00:00,15.424,12.974,0.0,T
1940-05-14 00:00:00+00:00,17.374,12.874,0.0,T
1940-05-15 00:00:00+00:00,15.324,13.374,1.8000002,T
1940-05-16 00:00:00+00:00,17.674002,12.874,2.6999998,T
1940-05-17 00:00:00+00:00,18.124,13.624,0.70000005,T
1940-05-18 00:00:00+00:00,18.524,13.674,0.1,T
1940-05-19 00:00:00+00:00,19.624,12.924,0.1,T
1940-05-20 00:00:00+00:00,19.274,14.274,0.1,T
1940-05-21 00:00:00+00:00,19.774,15.424,0.0,T
1940-05-22 00:00:00+00:00,19.824001,15.474,1.3000001,T
1940-05-23 00:00:00+00:00,21.774,13.524,0.1,T
1940-05-24 00:00:00+00:00,22.774,15.774,0.0,T
1940-05-25 00:00:00+00:00,23.224,17.674002,0.0,T
1940-05-26 00:00:00+00:00,21.424002,16.474,0.0,T
1940-05-27 00:00:00+00:00,21.374,17.524,0.0,T
1940-05-28 00:00:00+00:00,21.224,16.824001,0.0,T
1940-05-29 00:00:00+00:00,20.924002,17.474,9.6,T
1940-05-30 00:00:00+00:00,20.774,17.024,0.0,T
1940-05-31 00:00:00+00:00,20.424002,15.174,2.5,T
1940-06-01 00:00:00+00:00,19.624,14.024,0.1,T
1940-06-02 00:00:00+00:00,21.324001,14.274,0.0,T
1940-06-03 00:00:00+00:00,22.274,15.774,1.3000001,T
1940-06-04 00:00:00+00:00,23.924002,16.224,0.0,T
1940-06-05 00:00:00+00:00,23.374,17.624,0.1,T
1940-06-06 00:00:00+00:00,22.974,17.124,0.5,T
1940-06-07 00:00:00+00:00,24.424002,16.724,0.0,T
1940-06-08 00:00:00+00:00,24.124,17.424002,3.7,T
1940-06-09 00:00:00+00:00,24.124,16.974,0.0,T
1940-06-10 00:00:00+00:00,24.124,18.474,0.0,T
1940-06-11 00:00:00+00:00,24.574001,18.774,0.0,T
1940-06-12 00:00:00+00:00,24.374,17.374,0.0,T
1940-06-13 00:00:00+00:00,23.174002,19.424002,0.70000005,T
1940-06-14 00:00:00+00:00,22.424002,19.174002,3.4,T
1940-06-15 00:00:00+00:00,21.224,18.374,6.6999993,T
1940-06-16 00:00:00+00:00,23.374,17.574001,0.8,T
1940-06-17 00:00:00+00:00,23.124,18.424002,3.6,T
1940-06-18 00:00:00+00:00,24.974,18.424002,0.1,T
1940-06-19 00:00:00+00:00,24.024,18.624,0.4,T
1940-06-20 00:00:00+00:00,23.874,18.774,3.9,T
1940-06-21 00:00:00+00:00,23.824001,18.874,5.1,T
1940-06-22 00:00:00+00:00,23.424002,19.024,10.2,T
1940-06-23 00:00:00+00:00,23.224,18.874,6.1999993,T
1940-06-24 00:00:00+00:00,22.974,17.874,3.9999998,T
1940-06-25 00:00:00+00:00,22.874,16.874,9.2,T
1940-06-26 00:00:00+00:00,22.724,17.474,0.1,T
1940-06-27 00:00:00+00:00,21.274,17.374,0.1,T
1940-06-28 00:00:00+00:00,19.374,16.674002,6.2000003,T
1940-06-29 00:00:00+00:00,25.674002,17.074001,3.2999995,T
1940-06-30 00:00:00+00:00,26.824001,19.124,0.1,T
1940-07-01 00:00:00+00:00,27.474,20.174002,0.1,T
1940-07-02 00:00:00+00:00,26.124,20.874,0.1,T
1940-07-03 00:00:00+00:00,24.174002,19.474,8.099999,T
1940-07-04 00:00:00+00:00,23.674002,18.924002,3.6,T
1940-07-05 00:00:00+00:00,24.824001,19.774,0.0,T
1940-07-06 00:00:00+00:00,25.374,20.324001,1.1,T
1940-07-07 00:00:00+00:00,22.274,18.374,14.2,T
1940-07-08 00:00:00+00:00,24.624,17.674002,2.1999998,T
1940-07-09 00:00:00+00:00,25.074001,17.824001,0.0,T
1940-07-10 00:00:00+00:00,27.024,18.774,0.0,T
1940-07-11 00:00:00+00:00,25.574001,19.524,0.4,T
